x,y,speedKMH,hour
-48.687,-26.9022,12.28,11
-48.6867,-26.9054,12.28,11
-48.6867,-26.9058,12.28,11
-48.6866,-26.9037,12.28,11
-48.687,-26.9035,12.28,11
-48.6866,-26.9033,12.28,11
-48.6866,-26.9041,12.28,11
-48.6871,-26.9039,12.28,11
-48.687,-26.9026,12.28,11
-48.687,-26.903,12.28,11
-48.6866,-26.9045,12.28,11
-48.6867,-26.905,12.28,11
-48.6908,-26.8972,14.87,11
-48.6908,-26.8976,14.87,11
-48.6903,-26.897,14.87,11
-48.6903,-26.8974,14.87,11
-48.6908,-26.8993,14.87,11
-48.6904,-26.8991,14.87,11
-48.6908,-26.8988,14.87,11
-48.6908,-26.8997,14.87,11
-48.6904,-26.8995,14.87,11
-48.6904,-26.8982,14.87,11
-48.6908,-26.898,14.87,11
-48.6903,-26.8978,14.87,11
-48.6904,-26.8987,14.87,11
-48.6908,-26.8984,14.87,11
-48.6909,-26.9001,14.87,11
-48.6904,-26.8999,14.87,11
-48.6904,-26.9003,14.87,11
-48.6916,-26.9095,8.57,11
-48.6889,-26.9054,11.68,11
-48.6871,-26.906,12.28,11
-48.6921,-26.9096,8.57,11
-48.6912,-26.9097,8.57,11
-48.6908,-26.9095,8.57,11
-48.694,-26.9034,12.37,11
-48.6945,-26.9032,10.83,11
-48.6936,-26.9033,12.37,11
-48.694,-26.903,12.37,11
-48.6941,-26.9039,12.37,11
-48.6945,-26.9036,10.83,11
-48.6936,-26.9037,12.37,11
-48.6944,-26.9024,10.83,11
-48.6945,-26.9028,10.83,11
-48.6923,-26.9031,5.11,11
-48.6923,-26.9036,5.11,11
-48.6936,-26.9024,12.37,11
-48.694,-26.9022,12.37,11
-48.6936,-26.9028,12.37,11
-48.694,-26.9026,12.37,11
-48.6945,-26.9045,10.83,11
-48.6949,-26.9042,10.83,11
-48.6941,-26.9043,12.37,11
-48.6945,-26.904,10.83,11
-48.6945,-26.9049,10.83,11
-48.695,-26.9046,10.83,11
-48.6941,-26.9047,12.37,11
-48.6949,-26.9034,10.83,11
-48.6949,-26.9038,10.83,11
-48.6936,-26.9041,12.37,11
-48.6936,-26.9045,12.37,11
-48.6905,-26.902,14.87,11
-48.6905,-26.9024,14.87,11
-48.6922,-26.9015,5.11,11
-48.6905,-26.9012,14.87,11
-48.6904,-26.9007,14.87,11
-48.6905,-26.9016,14.87,11
-48.6923,-26.9023,5.11,11
-48.6922,-26.9019,5.11,11
-48.6923,-26.9027,5.11,11
-48.6905,-26.9028,14.87,11
-48.6905,-26.9032,14.87,11
-48.6944,-26.902,10.83,11
-48.6941,-26.9059,12.37,11
-48.695,-26.9055,10.83,11
-48.6954,-26.9052,11.68,11
-48.6945,-26.9053,11.255,11
-48.695,-26.9051,11.255,11
-48.695,-26.9059,10.83,11
-48.6946,-26.9057,10.83,11
-48.6937,-26.9053,12.025,11
-48.6941,-26.9051,12.025,11
-48.6932,-26.9052,11.68,11
-48.6937,-26.9049,12.37,11
-48.6937,-26.9058,12.37,11
-48.6941,-26.9055,12.37,11
-48.695,-26.9071,10.83,11
-48.6951,-26.9076,10.83,11
-48.695,-26.9063,10.83,11
-48.695,-26.9067,10.83,11
-48.6972,-26.9051,10.87,11
-48.6976,-26.9049,10.87,11
-48.6967,-26.9049,10.87,11
-48.6985,-26.9048,10.87,11
-48.6989,-26.905,10.87,11
-48.698,-26.9051,10.87,11
-48.6906,-26.9049,14.87,11
-48.6911,-26.9055,11.68,11
-48.6915,-26.9053,11.68,11
-48.6906,-26.9053,13.275,11
-48.6923,-26.904,5.11,11
-48.6897,-26.9054,11.68,11
-48.6893,-26.9052,11.68,11
-48.6906,-26.9041,14.87,11
-48.6905,-26.9037,14.87,11
-48.6906,-26.9045,14.87,11
-48.6924,-26.9052,11.68,11
-48.6928,-26.9054,11.68,11
-48.6919,-26.9055,11.68,11
-48.6902,-26.9056,11.68,11
-48.7,-26.8874,7.94,11
-48.7001,-26.8878,7.94,11
-48.6999,-26.8836,7.94,11
-48.6999,-26.884,7.94,11
-48.7,-26.8853,7.94,11
-48.7,-26.8857,7.94,11
-48.6999,-26.8844,7.94,11
-48.7,-26.8849,7.94,11
-48.7,-26.8865,7.94,11
-48.7,-26.8861,7.94,11
-48.7,-26.887,7.94,11
-48.6652,-26.9036,9.76,11
-48.6652,-26.904,9.76,11
-48.6565,-26.9037,8.89,11
-48.6569,-26.9035,8.89,11
-48.656,-26.904,8.89,11
-48.6883,-26.9159,8.18,11
-48.6888,-26.9157,8.18,11
-48.6879,-26.9158,8.18,11
-48.687,-26.9158,8.18,11
-48.6875,-26.916,8.18,11
-48.6866,-26.916,8.18,11
-48.6857,-26.9161,8.18,11
-48.6862,-26.9159,8.18,11
-48.6853,-26.9159,8.18,11
-48.7003,-26.9089,12.68,11
-48.7008,-26.9087,12.68,11
-48.7003,-26.9085,12.68,11
-48.7004,-26.9093,12.68,11
-48.7008,-26.9091,12.68,11
-48.7008,-26.9082,12.68,11
-48.7003,-26.9076,12.68,11
-48.7003,-26.9081,12.68,11
-48.6942,-26.9093,8.57,11
-48.6947,-26.9095,8.57,11
-48.6938,-26.9095,8.57,11
-48.6951,-26.9084,10.83,11
-48.6951,-26.908,10.83,11
-48.6951,-26.9088,10.83,11
-48.6929,-26.9096,8.57,11
-48.6934,-26.9093,8.57,11
-48.6925,-26.9094,8.57,11
-48.6951,-26.9101,10.83,11
-48.6952,-26.9105,10.83,11
-48.6951,-26.9092,9.7,11
-48.6951,-26.9096,10.83,11
-48.7002,-26.906,12.68,11
-48.7002,-26.9056,12.68,11
-48.7003,-26.9064,12.68,11
-48.7011,-26.9051,10.87,11
-48.7006,-26.9049,10.87,11
-48.6998,-26.905,10.87,11
-48.7002,-26.9047,11.775,11
-48.6993,-26.9048,10.87,11
-48.7002,-26.9051,12.68,11
-48.7003,-26.9068,12.68,11
-48.7003,-26.9072,12.68,11
-48.7042,-26.9187,7.67,11
-48.7046,-26.918,7.67,11
-48.7046,-26.9185,7.67,11
-48.705,-26.9182,7.67,11
-48.7042,-26.9183,7.67,11
-48.7046,-26.9189,7.67,11
-48.705,-26.9186,7.67,11
-48.6545,-26.9103,4.94,11
-48.6541,-26.9101,4.94,11
-48.6545,-26.9107,4.94,11
-48.655,-26.9105,4.94,11
-48.6541,-26.9106,4.94,11
-48.6536,-26.9104,4.94,11
-48.655,-26.9109,4.94,11
-48.6554,-26.9107,4.94,11
-48.6552,-26.9172,10.21,11
-48.6552,-26.9176,10.21,11
-48.6635,-26.9054,9.76,11
-48.6639,-26.9051,9.76,11
-48.6635,-26.9058,9.76,11
-48.664,-26.9055,9.76,11
-48.6644,-26.9045,9.76,11
-48.6648,-26.9042,9.76,11
-48.6644,-26.9049,9.76,11
-48.6631,-26.906,9.76,11
-48.6544,-26.9189,9.91,11
-48.6544,-26.9193,9.91,11
-48.6539,-26.9191,9.91,11
-48.6548,-26.9178,10.21,11
-48.6544,-26.9185,10.21,11
-48.6548,-26.9183,10.21,11
-48.654,-26.92,9.726666666666667,11
-48.6535,-26.9198,11.91,11
-48.654,-26.9196,9.91,11
-48.6535,-26.9202,9.726666666666667,11
-48.6532,-26.9217,9.265714285714285,11
-48.7429,-26.8761,15.81,11
-48.7433,-26.8758,15.81,11
-48.7429,-26.8757,15.81,11
-48.7429,-26.8765,15.81,11
-48.7433,-26.8763,15.81,11
-48.7434,-26.8771,15.81,11
-48.7429,-26.8769,15.81,11
-48.7434,-26.8767,15.81,11
-48.7434,-26.8775,15.81,11
-48.7429,-26.8773,15.81,11
-48.6548,-26.9047,8.89,11
-48.6543,-26.9053,8.89,11
-48.6548,-26.9051,8.89,11
-48.6544,-26.9057,8.89,11
-48.6552,-26.9044,8.89,11
-48.6556,-26.9042,8.89,11
-48.6544,-26.9062,8.89,11
-48.6539,-26.906,8.89,11
-48.7435,-26.8809,15.81,11
-48.7435,-26.8813,15.81,11
-48.7434,-26.8788,15.81,11
-48.7434,-26.8792,15.81,11
-48.7435,-26.88,15.81,11
-48.7435,-26.8796,15.81,11
-48.7435,-26.8804,15.81,11
-48.7434,-26.8779,15.81,11
-48.7434,-26.8783,15.81,11
-48.7435,-26.8817,15.81,11
-48.6282,-26.9321,8.49,11
-48.6286,-26.9318,8.49,11
-48.6277,-26.9323,8.49,11
-48.6273,-26.9321,10.285,11
-48.6273,-26.9338,12.08,11
-48.6278,-26.9344,12.08,11
-48.6274,-26.9342,12.08,11
-48.6273,-26.9329,12.08,11
-48.6273,-26.9325,12.08,11
-48.6273,-26.9334,12.08,11
-48.6278,-26.9348,12.08,11
-48.6278,-26.9352,12.08,11
-48.6274,-26.9346,12.08,11
-48.6274,-26.935,12.08,11
-48.6295,-26.9322,8.49,11
-48.629,-26.932,8.49,11
-48.6299,-26.9324,8.49,11
-48.6308,-26.9331,8.49,11
-48.6313,-26.9337,8.49,11
-48.6308,-26.9336,8.49,11
-48.6304,-26.933,8.49,11
-48.6299,-26.9328,8.49,11
-48.6304,-26.9334,8.49,11
-48.629,-26.9448,17.33,11
-48.629,-26.9443,17.33,11
-48.629,-26.9452,17.33,11
-48.6291,-26.9464,17.33,11
-48.6291,-26.9468,17.33,11
-48.6291,-26.9456,17.33,11
-48.6291,-26.946,17.33,11
-48.6279,-26.9369,12.08,11
-48.6279,-26.9365,12.08,11
-48.6279,-26.9373,12.08,11
-48.6278,-26.9356,12.08,11
-48.6279,-26.9361,12.08,11
-48.6284,-26.9379,12.08,11
-48.6279,-26.9377,12.08,11
-48.6283,-26.9375,12.08,11
-48.6284,-26.9383,12.08,11
-48.6279,-26.9381,12.08,11
-48.6317,-26.9343,8.49,11
-48.6322,-26.9341,8.49,11
-48.6313,-26.9342,8.49,11
-48.6317,-26.9339,8.49,11
-48.6284,-26.9387,12.08,11
-48.6492,-26.9205,4.85,11
-48.6496,-26.9203,4.85,11
-48.6488,-26.9207,4.85,11
-48.65,-26.92,4.85,11
-48.6505,-26.9198,4.85,11
-48.6479,-26.9208,4.405,11
-48.6483,-26.9205,4.85,11
-48.6474,-26.9206,4.58,11
-48.6509,-26.9191,7.5,11
-48.6522,-26.9205,7.5,11
-48.6522,-26.9201,7.5,11
-48.6513,-26.9197,7.5,11
-48.6509,-26.9195,7.5,11
-48.6513,-26.9193,7.5,11
-48.6518,-26.9199,7.5,11
-48.6527,-26.9219,9.265714285714285,11
-48.6531,-26.9209,9.705,11
-48.6536,-26.9206,9.726666666666667,11
-48.6527,-26.9207,7.5,11
-48.6531,-26.9213,9.59625,11
-48.6536,-26.9211,9.726666666666667,11
-48.6474,-26.921,4.58,11
-48.6345,-26.9256,11.8,11
-48.6341,-26.9263,11.8,11
-48.6345,-26.926,11.8,11
-48.6349,-26.9249,11.8,11
-48.6349,-26.9245,11.8,11
-48.6349,-26.9254,11.8,11
-48.6379,-26.9225,18.68,11
-48.6353,-26.9243,11.8,11
-48.6333,-26.9276,11.8,11
-48.6337,-26.9273,11.8,11
-48.6341,-26.9267,11.8,11
-48.6337,-26.9269,11.8,11
-48.6425,-26.9169,18.68,11
-48.6421,-26.9172,18.68,11
-48.6421,-26.9176,18.68,11
-48.6421,-26.918,18.68,11
-48.64,-26.9213,18.68,11
-48.64,-26.9217,18.68,11
-48.6409,-26.9204,18.68,11
