x,y,speedKMH,hour
-48.6874,-26.9007,3.52,14
-48.6869,-26.9005,3.52,14
-48.687,-26.901,3.52,14
-48.687,-26.9018,3.52,14
-48.687,-26.9014,3.52,14
-48.687,-26.9022,3.52,14
-48.6817,-26.9009,10.77,14
-48.6826,-26.9004,9.24,14
-48.6821,-26.9002,9.24,14
-48.6826,-26.9,9.24,14
-48.6826,-26.9008,10.26,14
-48.683,-26.9006,16.62,14
-48.6821,-26.9006,10.26,14
-48.6808,-26.9009,10.77,14
-48.68,-26.901,16.62,14
-48.6804,-26.9007,10.77,14
-48.6813,-26.9007,10.77,14
-48.6852,-26.9011,16.62,14
-48.6848,-26.9009,16.62,14
-48.6839,-26.9005,16.62,14
-48.6839,-26.9009,16.62,14
-48.6843,-26.9007,16.62,14
-48.6835,-26.9008,16.62,14
-48.6888,-26.9029,9.8,14
-48.6892,-26.9027,9.8,14
-48.6756,-26.9017,4.28,14
-48.6761,-26.9019,4.28,14
-48.6752,-26.9019,4.28,14
-48.6765,-26.9008,10.95,14
-48.676,-26.9006,10.95,14
-48.6769,-26.901,10.95,14
-48.6765,-26.9016,4.28,14
-48.6769,-26.9014,7.615,14
-48.6791,-26.901,16.62,14
-48.6795,-26.9008,16.62,14
-48.6787,-26.9009,16.62,14
-48.6791,-26.9006,16.62,14
-48.6778,-26.9009,16.62,14
-48.6782,-26.9007,16.62,14
-48.6742,-26.899,9.05,14
-48.6738,-26.8989,9.05,14
-48.676,-26.9002,9.05,14
-48.6756,-26.9,9.05,14
-48.6747,-26.8996,9.05,14
-48.6751,-26.8994,9.05,14
-48.6747,-26.8992,9.05,14
-48.6751,-26.8998,9.05,14
-48.6821,-26.8981,9.24,14
-48.6821,-26.8985,9.24,14
-48.682,-26.8977,9.24,14
-48.6821,-26.8994,9.24,14
-48.6825,-26.8991,9.24,14
-48.6821,-26.899,9.24,14
-48.6821,-26.8998,9.24,14
-48.6825,-26.8996,9.24,14
-48.6833,-26.9085,5.35,14
-48.6923,-26.9031,7.65,14
