x,y,speedKMH,hour
-48.6776,-26.9082,7.15,1
-48.6776,-26.9074,7.15,1
-48.6776,-26.9078,7.15,1
-48.6775,-26.9057,7.15,1
-48.6775,-26.9062,7.15,1
-48.6775,-26.9066,7.15,1
-48.6776,-26.907,7.15,1
-48.7129,-26.8811,12.23,1
-48.7129,-26.8815,12.23,1
-48.6982,-26.8837,7.72,1
-48.6982,-26.8854,7.72,1
-48.6982,-26.885,7.72,1
-48.6982,-26.8858,7.72,1
-48.6983,-26.8862,7.72,1
-48.6983,-26.8866,7.72,1
-48.6982,-26.8841,7.72,1
-48.6982,-26.8846,7.72,1
-48.7129,-26.8799,12.23,1
-48.7133,-26.8805,12.23,1
-48.7129,-26.8803,12.23,1
-48.7134,-26.8809,12.23,1
-48.7134,-26.8813,12.23,1
-48.7448,-26.8665,13.11,1
-48.7452,-26.8663,13.11,1
-48.7448,-26.867,13.11,1
-48.7452,-26.8667,13.11,1
-48.7452,-26.8676,13.11,1
-48.7448,-26.8674,13.11,1
-48.7452,-26.8671,13.11,1
-48.7452,-26.868,13.11,1
-48.7448,-26.8678,13.11,1
-48.7453,-26.8692,13.11,1
-48.7453,-26.8696,13.11,1
-48.7453,-26.8684,13.11,1
-48.7453,-26.8688,13.11,1
-48.7448,-26.8682,13.11,1
-48.7453,-26.8705,13.11,1
-48.7453,-26.8701,13.11,1
-48.7453,-26.8709,13.11,1
-48.7454,-26.8722,13.11,1
-48.7454,-26.8726,13.11,1
-48.7454,-26.8713,13.11,1
-48.7454,-26.8717,13.11,1
-48.7102,-26.8775,12.23,1
-48.7115,-26.8789,12.23,1
-48.7115,-26.8785,12.23,1
-48.712,-26.8791,12.23,1
-48.7106,-26.8777,12.23,1
-48.7111,-26.8783,12.23,1
-48.7106,-26.8781,12.23,1
-48.7124,-26.8797,12.23,1
-48.7124,-26.8793,12.23,1
-48.6709,-26.903,14.74,8
-48.6713,-26.9036,14.74,8
-48.6709,-26.9034,14.74,8
-48.6713,-26.904,14.74,8
-48.6718,-26.9046,14.74,8
-48.6714,-26.9045,14.74,8
-48.6794,-26.9102,12.21,8
-48.6798,-26.91,12.21,8
-48.679,-26.91,12.21,8
-48.6781,-26.9101,12.21,8
-48.6785,-26.9103,12.21,8
-48.682,-26.9101,12.21,8
-48.6825,-26.9098,12.21,8
-48.6816,-26.9099,12.21,8
-48.6807,-26.9099,12.21,8
-48.6812,-26.9101,12.21,8
-48.6803,-26.9102,12.21,8
-48.6777,-26.9103,12.21,8
-48.6772,-26.9102,12.21,8
-48.6709,-26.9026,14.74,8
-48.6951,-26.8841,6.28,8
-48.6947,-26.8839,6.28,8
-48.6951,-26.8845,6.28,8
-48.6956,-26.8843,6.28,8
-48.6965,-26.8851,6.28,8
-48.696,-26.8849,6.28,8
-48.6956,-26.8847,6.28,8
-48.6831,-26.9158,2.93,8
-48.6836,-26.9164,2.93,8
-48.6831,-26.9163,2.93,8
-48.6836,-26.9169,2.93,8
-48.6625,-26.914,19.64,8
-48.6621,-26.9138,19.64,8
-48.6625,-26.9144,19.64,8
-48.6629,-26.9142,19.64,8
-48.663,-26.9146,19.64,8
-48.6607,-26.9133,19.64,8
-48.6612,-26.913,16.25,8
-48.6616,-26.9136,19.64,8
-48.6607,-26.9137,17.945,8
