x,y,speedKMH,hour
-48.6861,-26.9018,7.89,17
-48.6874,-26.9007,8.555,17
-48.6869,-26.9005,8.555,17
-48.687,-26.901,8.555,17
-48.6874,-26.8999,12.6,17
-48.6878,-26.8997,12.6,17
-48.6873,-26.8995,12.6,17
-48.6874,-26.9003,12.6,17
-48.6887,-26.9017,8.9,17
-48.6883,-26.9023,7.89,17
-48.6887,-26.9021,9.604,17
-48.6879,-26.9022,7.89,17
-48.6887,-26.9008,8.9,17
-48.6887,-26.9013,8.9,17
-48.687,-26.9018,8.555,17
-48.687,-26.9014,8.555,17
-48.687,-26.9022,6.775,17
-48.6874,-26.902,7.89,17
-48.6866,-26.902,7.89,17
-48.6817,-26.9009,3.27,17
-48.6826,-26.9004,9.23,17
-48.6821,-26.9002,9.23,17
-48.6826,-26.9,9.23,17
-48.6826,-26.9008,6.855,17
-48.683,-26.9006,7.46,17
-48.6821,-26.9006,6.25,17
-48.6808,-26.9009,3.27,17
-48.6804,-26.9007,3.27,17
-48.6813,-26.9007,3.27,17
-48.6826,-26.9021,9.23,17
-48.6826,-26.9025,9.23,17
-48.6826,-26.9012,9.23,17
-48.6826,-26.9017,9.23,17
-48.6852,-26.9011,7.46,17
-48.6848,-26.9009,7.46,17
-48.6839,-26.9005,7.46,17
-48.6839,-26.9009,7.46,17
-48.6843,-26.9007,7.46,17
-48.6835,-26.9008,7.46,17
-48.6888,-26.9029,9.165,17
-48.6888,-26.9025,9.165,17
-48.6888,-26.9034,9.165,17
-48.6866,-26.9037,7.35,17
-48.687,-26.9035,7.35,17
-48.6866,-26.9033,7.35,17
-48.687,-26.9026,7.35,17
-48.687,-26.903,7.35,17
-48.6888,-26.9046,9.43,17
-48.6888,-26.905,9.43,17
-48.6888,-26.9038,9.165,17
-48.6888,-26.9042,9.43,17
-48.6814,-26.904,10.13,17
-48.6809,-26.9038,10.13,17
-48.6801,-26.9039,10.13,17
-48.6805,-26.9037,10.13,17
-48.6823,-26.9056,9.94,17
-48.6819,-26.9055,9.94,17
-48.681,-26.9055,9.94,17
-48.6806,-26.9053,9.94,17
-48.6947,-26.8967,4.13,17
-48.6942,-26.8965,4.13,17
-48.6951,-26.8969,4.13,17
-48.6938,-26.8963,4.13,17
-48.6956,-26.8975,4.13,17
-48.6951,-26.8973,4.13,17
-48.6877,-26.898,12.6,17
-48.6877,-26.8984,12.6,17
-48.6878,-26.8988,12.6,17
-48.6878,-26.8992,12.6,17
-48.6765,-26.9008,11.22,17
-48.676,-26.9006,11.22,17
-48.6769,-26.901,11.22,17
-48.6774,-26.9016,7.51,17
-48.6769,-26.9014,11.22,17
-48.6774,-26.902,7.51,17
-48.6791,-26.901,4.96,17
-48.6795,-26.9008,4.96,17
-48.6787,-26.9009,4.96,17
-48.6791,-26.9006,4.96,17
-48.6778,-26.9009,6.235,17
-48.6782,-26.9007,4.96,17
-48.6778,-26.9013,7.51,17
-48.6774,-26.9011,7.51,17
-48.6742,-26.899,11.22,17
-48.6738,-26.8989,11.22,17
-48.676,-26.9002,11.22,17
-48.6756,-26.9,11.22,17
-48.6747,-26.8996,11.22,17
-48.6751,-26.8994,11.22,17
-48.6747,-26.8992,11.22,17
-48.6751,-26.8998,11.22,17
-48.6775,-26.9045,9.985,17
-48.6775,-26.9049,9.985,17
-48.6787,-26.9029,10.13,17
-48.6783,-26.9028,10.13,17
-48.6792,-26.9031,10.13,17
-48.6778,-26.9026,7.51,17
-48.6774,-26.9024,7.51,17
-48.6779,-26.903,8.455,17
-48.6778,-26.9017,7.51,17
-48.6783,-26.9023,10.13,17
-48.6778,-26.9022,8.82,17
-48.6796,-26.9037,10.13,17
-48.6792,-26.9035,10.13,17
-48.6801,-26.9035,10.13,17
-48.6796,-26.9033,10.13,17
-48.6779,-26.9038,9.796666666666667,17
-48.6779,-26.9034,8.455,17
-48.6779,-26.9043,9.796666666666667,17
-48.6735,-26.9024,1.72,17
-48.673,-26.9023,1.72,17
-48.6722,-26.9023,1.72,17
-48.6726,-26.9025,1.72,17
-48.6717,-26.9025,1.72,17
-48.6821,-26.8994,9.23,17
-48.6821,-26.8998,9.23,17
-48.6825,-26.8996,9.23,17
-48.689,-26.9088,6.6,17
-48.6885,-26.9086,6.6,17
-48.6877,-26.9087,6.6,17
-48.6881,-26.9088,6.6,17
-48.6872,-26.9089,6.6,17
-48.6886,-26.9111,7.19,17
-48.6899,-26.9096,10.02,17
-48.689,-26.9096,10.02,17
-48.6894,-26.9094,10.02,17
-48.6916,-26.9095,9.145,17
-48.6925,-26.9086,3.81,17
-48.6907,-26.9087,6.15,17
-48.6907,-26.9091,6.15,17
-48.6864,-26.9089,6.6,17
-48.6868,-26.9087,6.6,17
-48.6889,-26.9059,9.43,17
-48.6889,-26.9054,9.555,17
-48.6889,-26.9063,9.43,17
-48.6887,-26.9124,6.025,17
-48.6887,-26.9128,6.025,17
-48.6891,-26.9117,18.84,17
-48.6886,-26.9115,6.016666666666667,17
-48.6891,-26.9113,7.19,17
-48.6891,-26.9121,15.834,17
-48.6895,-26.9119,18.84,17
-48.6886,-26.9119,6.02,17
-48.6878,-26.9116,6.016666666666667,17
-48.6873,-26.9114,6.016666666666667,17
-48.6882,-26.9118,6.016666666666667,17
-48.6887,-26.9136,6.025,17
-48.6891,-26.9134,6.025,17
-48.6887,-26.9132,6.025,17
-48.6887,-26.914,6.025,17
-48.69,-26.9125,24.14,17
-48.6891,-26.9125,6.025,17
-48.6895,-26.9123,22.373333333333335,17
-48.6891,-26.913,6.025,17
-48.6912,-26.9109,7.19,17
-48.6908,-26.9108,5.035,17
-48.6917,-26.9111,7.19,17
-48.6908,-26.9112,5.753333333333334,17
-48.6921,-26.9096,9.145,17
-48.6899,-26.9112,7.19,17
-48.6904,-26.911,7.19,17
-48.6895,-26.911,7.19,17
-48.6908,-26.9099,6.15,17
-48.6912,-26.9097,9.145,17
-48.6903,-26.9097,10.02,17
-48.6908,-26.9095,8.146666666666667,17
-48.6908,-26.9103,5.035,17
-48.6926,-26.9111,7.19,17
-48.6921,-26.9113,7.19,17
-48.6908,-26.9116,5.035,17
-48.6904,-26.9122,22.373333333333335,17
-48.6908,-26.912,5.035,17
-48.69,-26.9121,22.373333333333335,17
-48.6869,-26.9112,6.016666666666667,17
-48.694,-26.9034,8.94,17
-48.6945,-26.9032,15.25,17
-48.6936,-26.9033,8.94,17
-48.694,-26.903,8.285,17
-48.6941,-26.9039,8.94,17
-48.6945,-26.9036,15.25,17
-48.6936,-26.9037,8.94,17
-48.6944,-26.9024,15.25,17
-48.6945,-26.9028,15.25,17
-48.6936,-26.9024,8.285,17
-48.694,-26.9022,8.376,17
-48.6931,-26.9022,8.436666666666666,17
-48.6936,-26.902,8.376,17
-48.6936,-26.9028,8.285,17
-48.694,-26.9026,8.285,17
-48.6945,-26.9045,15.25,17
-48.6949,-26.9042,15.25,17
-48.6941,-26.9043,8.94,17
-48.6945,-26.904,15.25,17
-48.6945,-26.9049,15.25,17
-48.695,-26.9046,15.25,17
-48.6941,-26.9047,8.94,17
-48.6949,-26.9034,15.25,17
-48.6949,-26.9038,15.25,17
-48.6936,-26.9041,8.94,17
-48.6936,-26.9045,8.94,17
-48.6909,-26.9022,10.9,17
-48.6914,-26.9024,10.9,17
