x,y,speedKMH,hour
-48.6887,-26.9017,15.18,15
-48.6887,-26.9021,11.412,15
-48.6888,-26.9029,15.18,15
-48.6888,-26.9025,15.18,15
-48.6888,-26.9034,15.18,15
-48.6888,-26.9046,15.18,15
-48.6888,-26.905,15.18,15
-48.6888,-26.9038,15.18,15
-48.6888,-26.9042,15.18,15
-48.6881,-26.9097,12.12,15
-48.6886,-26.9094,12.12,15
-48.6877,-26.9095,12.12,15
-48.6868,-26.9095,12.12,15
-48.6873,-26.9097,12.12,15
-48.6864,-26.9098,12.12,15
-48.6899,-26.9096,12.12,15
-48.689,-26.9096,12.12,15
-48.6894,-26.9094,12.12,15
-48.6916,-26.9095,9.195,15
-48.6907,-26.9091,7.23,15
-48.6859,-26.9096,12.12,15
-48.6885,-26.9069,15.18,15
-48.6889,-26.9059,15.18,15
-48.6889,-26.9054,15.18,15
-48.6889,-26.9063,15.18,15
-48.6889,-26.9067,15.18,15
-48.6889,-26.9071,15.18,15
-48.6886,-26.9115,9.36,15
-48.6886,-26.9119,9.36,15
-48.6878,-26.9116,9.36,15
-48.6873,-26.9114,9.36,15
-48.6882,-26.9118,9.36,15
-48.6908,-26.9108,7.23,15
-48.6908,-26.9112,7.23,15
-48.6921,-26.9096,9.195,15
-48.6908,-26.9099,7.23,15
-48.6912,-26.9097,9.195,15
-48.6903,-26.9097,12.12,15
-48.6908,-26.9095,9.435,15
-48.6908,-26.9103,7.23,15
-48.6908,-26.9116,7.23,15
-48.6904,-26.9122,12.47,15
-48.6908,-26.912,7.23,15
-48.69,-26.9121,12.47,15
-48.686,-26.9109,9.36,15
-48.6855,-26.9107,9.36,15
-48.6869,-26.9112,9.36,15
-48.6864,-26.911,9.36,15
-48.694,-26.9022,11.59,15
-48.6931,-26.9022,11.59,15
-48.6936,-26.902,11.59,15
-48.6909,-26.9022,10.47,15
-48.6914,-26.9024,10.47,15
-48.6905,-26.9024,10.47,15
-48.6896,-26.902,10.47,15
-48.6901,-26.9022,10.47,15
-48.6892,-26.9023,10.47,15
-48.6923,-26.9023,10.47,15
-48.6927,-26.9021,11.59,15
-48.6918,-26.9021,10.47,15
-48.6911,-26.9055,3.5,15
-48.6915,-26.9053,3.5,15
-48.6906,-26.9053,3.5,15
-48.6924,-26.9052,3.5,15
-48.6919,-26.9055,3.5,15
-48.6773,-26.9114,7.57,15
-48.6773,-26.9118,7.57,15
-48.6772,-26.9106,7.57,15
-48.6777,-26.9103,7.57,15
-48.6772,-26.9102,7.57,15
-48.6773,-26.911,7.57,15
-48.7001,-26.8882,7.03,15
