x,y,speedKMH,hour
-48.6861,-26.9018,7.74,9
-48.6887,-26.9,14.63,9
-48.6887,-26.8996,14.63,9
-48.6887,-26.9004,14.63,9
-48.6887,-26.9017,14.63,9
-48.6883,-26.9023,7.74,9
-48.6887,-26.9021,11.185,9
-48.6879,-26.9022,7.74,9
-48.6887,-26.9008,14.63,9
-48.6887,-26.9013,14.63,9
-48.687,-26.9022,7.74,9
-48.6874,-26.902,7.74,9
-48.6866,-26.902,7.74,9
-48.6826,-26.9008,6.72,9
-48.683,-26.9006,6.72,9
-48.6852,-26.9011,6.72,9
-48.6848,-26.9009,6.72,9
-48.6839,-26.9005,6.72,9
-48.6839,-26.9009,6.72,9
-48.6843,-26.9007,6.72,9
-48.6835,-26.9008,6.72,9
-48.6888,-26.9029,14.63,9
-48.6888,-26.9025,14.63,9
-48.6888,-26.9034,14.63,9
-48.6886,-26.8988,14.63,9
-48.6886,-26.8992,14.63,9
-48.6886,-26.8979,14.63,9
-48.6886,-26.8983,14.63,9
-48.6738,-26.8984,7.95,9
-48.6742,-26.899,7.95,9
-48.6738,-26.8989,7.95,9
-48.676,-26.9002,7.95,9
-48.6756,-26.9,7.95,9
-48.6747,-26.8996,7.95,9
-48.6751,-26.8994,7.95,9
-48.6747,-26.8992,7.95,9
-48.6751,-26.8998,7.95,9
-48.6889,-26.9054,16.28,9
-48.6909,-26.9018,4.42,9
-48.6918,-26.9017,4.42,9
-48.6922,-26.9015,4.42,9
-48.6914,-26.9015,4.42,9
-48.6905,-26.9016,4.42,9
-48.6954,-26.9052,16.28,9
-48.6945,-26.9053,16.28,9
-48.695,-26.9051,16.28,9
-48.6937,-26.9053,16.28,9
-48.6941,-26.9051,16.28,9
-48.6932,-26.9052,16.28,9
-48.6972,-26.9051,16.28,9
-48.6976,-26.9049,16.28,9
-48.6967,-26.9049,16.28,9
-48.6958,-26.905,16.28,9
-48.6963,-26.9052,16.28,9
-48.6911,-26.9055,16.28,9
-48.6915,-26.9053,16.28,9
-48.6906,-26.9053,16.28,9
-48.6897,-26.9054,16.28,9
-48.6893,-26.9052,16.28,9
-48.6924,-26.9052,16.28,9
-48.6928,-26.9054,16.28,9
-48.6919,-26.9055,16.28,9
-48.6902,-26.9056,16.28,9
-48.6773,-26.9114,5.19,9
-48.6773,-26.9118,5.19,9
-48.6772,-26.9106,5.19,9
-48.6777,-26.9103,5.19,9
-48.6772,-26.9102,5.19,9
-48.6773,-26.911,5.19,9
-48.7057,-26.8881,8.11,9
-48.7053,-26.8879,8.11,9
-48.7044,-26.8879,8.11,9
-48.7049,-26.8881,8.11,9
-48.704,-26.8882,8.11,9
-48.7059,-26.8939,14.26,9
-48.7064,-26.8937,14.26,9
-48.7059,-26.8935,14.26,9
-48.706,-26.8943,14.26,9
-48.7064,-26.8941,14.26,9
-48.7064,-26.8932,14.26,9
-48.7059,-26.8931,14.26,9
-48.7064,-26.8949,14.26,9
-48.706,-26.8947,14.26,9
-48.7064,-26.8945,14.26,9
-48.7064,-26.8953,14.26,9
-48.706,-26.8952,14.26,9
-48.7033,-26.8937,11.94,9
-48.7037,-26.8934,11.94,9
-48.7033,-26.8932,11.94,9
-48.7033,-26.8941,11.94,9
-48.7038,-26.8938,11.94,9
-48.7037,-26.893,11.94,9
-48.7134,-26.8825,18.57,9
-48.7138,-26.8823,18.57,9
-48.7129,-26.8811,18.57,9
-48.713,-26.882,18.57,9
-48.7134,-26.8817,18.57,9
-48.7129,-26.8815,18.57,9
-48.713,-26.8824,18.57,9
-48.6986,-26.8835,11.3,9
-48.6986,-26.8839,11.3,9
-48.7031,-26.8878,8.11,9
-48.7036,-26.888,8.11,9
-48.7027,-26.888,8.11,9
-48.7022,-26.8879,8.11,9
-48.6987,-26.8852,11.3,9
-48.6987,-26.8856,11.3,9
-48.6986,-26.8843,11.3,9
-48.6986,-26.8847,11.3,9
-48.6987,-26.8864,11.3,9
-48.6987,-26.886,11.3,9
-48.6987,-26.8868,11.3,9
-48.706,-26.8968,14.26,9
-48.7065,-26.8966,14.26,9
-48.706,-26.8964,14.26,9
-48.7061,-26.8972,14.26,9
-48.7065,-26.897,14.26,9
-48.7064,-26.8958,14.26,9
-48.7065,-26.8962,14.26,9
-48.706,-26.8956,14.26,9
-48.706,-26.896,14.26,9
-48.7065,-26.8978,14.26,9
-48.7061,-26.8977,14.26,9
-48.7065,-26.8974,14.26,9
-48.7065,-26.8983,14.26,9
-48.7061,-26.8981,14.26,9
-48.7066,-26.8995,14.26,9
-48.7066,-26.8999,14.26,9
-48.7065,-26.8987,14.26,9
-48.7066,-26.8991,14.26,9
-48.7061,-26.8985,14.26,9
-48.7038,-26.8947,11.94,9
-48.7033,-26.8945,11.94,9
-48.7038,-26.8942,11.94,9
-48.7038,-26.8951,11.94,9
-48.7038,-26.8963,11.94,9
-48.7039,-26.8968,11.94,9
-48.7038,-26.8955,11.94,9
-48.7038,-26.8959,11.94,9
-48.6981,-26.8952,3.7,9
-48.6982,-26.8961,3.7,9
-48.6986,-26.8958,3.7,9
-48.6981,-26.8957,3.7,9
-48.6982,-26.8965,3.7,9
-48.6986,-26.8962,3.7,9
-48.6986,-26.895,3.7,9
-48.6986,-26.8954,3.7,9
-48.6626,-26.9038,13.64,9
-48.663,-26.9035,13.64,9
-48.6724,-26.8975,7.95,9
-48.672,-26.8973,7.95,9
-48.6729,-26.8977,7.95,9
-48.6733,-26.8983,7.95,9
-48.6729,-26.8981,7.95,9
-48.6959,-26.8816,5.87,9
-48.6955,-26.8814,5.87,9
-48.6955,-26.8822,5.87,9
-48.6959,-26.882,5.87,9
-48.6955,-26.8818,5.87,9
-48.6955,-26.8826,5.87,9
-48.6959,-26.8824,5.87,9
-48.6956,-26.8839,5.87,9
-48.6956,-26.8843,5.87,9
-48.696,-26.8832,5.87,9
-48.6955,-26.8831,5.87,9
-48.696,-26.8828,5.87,9
-48.696,-26.8837,5.87,9
-48.6955,-26.8835,5.87,9
-48.683,-26.9261,6.32,9
-48.6834,-26.9259,6.32,9
-48.6826,-26.9259,6.32,9
-48.6817,-26.926,6.32,9
-48.6901,-26.9162,5.6,9
-48.691,-26.9162,5.6,9
-48.6905,-26.916,5.6,9
-48.6949,-26.9153,2.98,9
-48.6953,-26.9142,2.98,9
-48.6953,-26.9138,2.98,9
-48.6953,-26.9147,2.98,9
-48.6953,-26.9151,2.98,9
-48.6892,-26.9163,5.6,9
-48.6888,-26.9161,5.6,9
-48.6897,-26.9161,5.6,9
-48.6821,-26.9262,6.32,9
-48.6813,-26.9262,6.32,9
-48.6804,-26.9263,6.32,9
-48.6808,-26.926,6.32,9
-48.7003,-26.9089,13.183333333333332,9
-48.7008,-26.9087,13.183333333333332,9
-48.7003,-26.9085,13.183333333333332,9
-48.7004,-26.9093,13.2725,9
-48.7008,-26.9091,13.183333333333332,9
-48.7008,-26.9082,13.183333333333332,9
-48.7003,-26.9076,13.183333333333332,9
