x,y,speedKMH,hour
-48.687,-26.9022,7.43,12
-48.6826,-26.9008,13.06,12
-48.6826,-26.9021,13.06,12
-48.6826,-26.9025,13.06,12
-48.6826,-26.9012,13.06,12
-48.6826,-26.9017,13.06,12
-48.6866,-26.9037,7.43,12
-48.687,-26.9035,7.43,12
-48.6866,-26.9033,7.43,12
-48.6866,-26.9041,7.43,12
-48.6871,-26.9039,7.43,12
-48.687,-26.9026,7.43,12
-48.687,-26.903,7.43,12
-48.6866,-26.9045,7.43,12
-48.6827,-26.9033,13.06,12
-48.6827,-26.9029,13.06,12
-48.6827,-26.9037,13.06,12
-48.6823,-26.9052,13.06,12
-48.6827,-26.905,13.06,12
-48.6823,-26.9048,13.06,12
-48.6823,-26.9056,13.06,12
-48.6827,-26.9042,13.06,12
-48.6827,-26.9046,13.06,12
-48.6769,-26.9005,14.66,12
-48.6773,-26.9003,14.66,12
-48.6769,-26.9001,14.66,12
-48.6773,-26.9007,14.66,12
-48.6751,-26.8986,14.66,12
-48.6755,-26.8992,14.66,12
-48.6751,-26.899,14.66,12
-48.6746,-26.8984,14.66,12
-48.6742,-26.8982,14.66,12
-48.676,-26.8998,14.66,12
-48.6764,-26.8995,14.66,12
-48.676,-26.8994,14.66,12
-48.6764,-26.8999,14.66,12
-48.6713,-26.904,4.19,12
-48.6718,-26.9046,4.19,12
-48.6714,-26.9045,4.19,12
-48.6916,-26.9095,11.42,12
-48.6833,-26.9085,9.93,12
-48.6887,-26.9124,6.46,12
-48.6887,-26.9128,6.46,12
-48.6891,-26.9121,11.325,12
-48.6886,-26.9119,6.46,12
-48.6887,-26.9136,6.46,12
-48.6891,-26.9134,6.46,12
-48.6887,-26.9132,6.46,12
-48.6887,-26.914,6.46,12
-48.69,-26.9125,16.19,12
-48.6891,-26.9125,6.46,12
-48.6895,-26.9123,16.19,12
-48.6891,-26.913,6.46,12
-48.6908,-26.9108,4.88,12
-48.6908,-26.9112,4.88,12
-48.6921,-26.9096,11.42,12
-48.6912,-26.9097,11.42,12
-48.6908,-26.9095,11.42,12
-48.6908,-26.9103,4.88,12
-48.6908,-26.9116,4.88,12
-48.6904,-26.9122,16.19,12
-48.6908,-26.912,4.88,12
-48.69,-26.9121,16.19,12
-48.6954,-26.9052,6.82,12
-48.6945,-26.9053,6.82,12
-48.695,-26.9051,6.82,12
-48.6937,-26.9053,6.82,12
-48.6941,-26.9051,6.82,12
-48.6932,-26.9052,6.82,12
-48.6924,-26.9052,6.82,12
-48.6928,-26.9054,6.82,12
-48.6776,-26.9087,12.27,12
-48.6776,-26.9082,12.27,12
-48.6776,-26.9091,9.24,12
-48.6776,-26.9095,9.24,12
-48.6777,-26.9099,9.24,12
-48.6828,-26.9062,13.06,12
-48.6828,-26.9058,13.06,12
-48.6828,-26.9067,13.06,12
-48.6832,-26.9064,13.06,12
-48.6832,-26.9073,13.06,12
-48.6832,-26.9068,13.06,12
-48.6776,-26.9074,12.27,12
-48.6776,-26.9078,12.27,12
-48.6775,-26.9057,12.27,12
-48.6775,-26.9053,12.27,12
-48.6775,-26.9062,12.27,12
-48.6779,-26.9051,12.27,12
-48.6775,-26.9066,12.27,12
-48.6776,-26.907,12.27,12
-48.679,-26.9121,9.66,12
-48.6773,-26.9114,12.185,12
-48.6773,-26.9118,12.185,12
-48.6795,-26.9123,9.66,12
-48.6804,-26.9123,9.66,12
-48.6808,-26.912,9.66,12
-48.6799,-26.9121,9.66,12
-48.6786,-26.9124,9.66,12
-48.6777,-26.9124,9.66,12
-48.6782,-26.9122,9.66,12
-48.6829,-26.9092,9.93,12
-48.6833,-26.9089,9.93,12
-48.6829,-26.9096,9.93,12
-48.6833,-26.9093,9.93,12
-48.6825,-26.9111,9.93,12
-48.6829,-26.9108,9.93,12
-48.6825,-26.9115,9.93,12
-48.6829,-26.9113,9.93,12
-48.6829,-26.91,9.93,12
-48.6829,-26.9104,9.93,12
-48.6772,-26.9093,9.24,12
-48.6772,-26.9097,9.24,12
-48.6772,-26.9106,10.193333333333333,12
-48.6777,-26.9103,10.193333333333333,12
-48.6772,-26.9102,10.193333333333333,12
-48.6773,-26.911,10.193333333333333,12
-48.7005,-26.888,6.255,12
-48.7009,-26.8877,6.255,12
-48.7001,-26.8878,6.255,12
-48.6987,-26.8872,12.47,12
-48.6974,-26.8863,12.47,12
-48.6978,-26.886,12.47,12
-48.6974,-26.8859,12.47,12
-48.6978,-26.8865,12.47,12
-48.7027,-26.888,6.255,12
-48.7018,-26.8881,6.255,12
-48.7022,-26.8879,6.255,12
-48.7014,-26.8879,6.255,12
-48.6987,-26.8868,12.47,12
-48.6983,-26.8866,12.47,12
-48.7009,-26.8992,8.97,12
-48.7013,-26.8994,8.97,12
-48.7035,-26.8995,8.97,12
-48.7031,-26.8993,8.97,12
-48.704,-26.8997,8.97,12
-48.7031,-26.8997,8.97,12
-48.7022,-26.8994,8.97,12
-48.7018,-26.8992,8.97,12
-48.7026,-26.8996,8.97,12
-48.6626,-26.9038,10.645,12
-48.663,-26.9035,10.645,12
-48.6729,-26.8972,14.66,12
-48.6733,-26.897,14.66,12
-48.6728,-26.8968,14.66,12
-48.6737,-26.8976,14.66,12
-48.6733,-26.8974,14.66,12
-48.6742,-26.8978,14.66,12
-48.6946,-26.881,6.26,12
-48.6946,-26.8814,6.26,12
-48.6945,-26.8789,6.26,12
-48.6945,-26.8793,6.26,12
-48.6945,-26.8802,6.26,12
-48.6945,-26.8798,6.26,12
-48.6946,-26.8806,6.26,12
-48.6951,-26.8841,12.47,12
-48.6951,-26.8845,12.47,12
-48.6956,-26.8843,12.47,12
-48.6965,-26.8851,12.47,12
-48.6969,-26.8857,12.47,12
-48.6965,-26.8855,12.47,12
-48.696,-26.8849,12.47,12
-48.6956,-26.8847,12.47,12
-48.6795,-26.8876,4.73,12
-48.6791,-26.8883,4.73,12
