x,y,speedKMH,hour
-48.7418,-26.9456,11.63,13
-48.7414,-26.9454,11.63,13
-48.7422,-26.9453,11.63,13
-48.7405,-26.9455,11.63,13
-48.74,-26.9453,11.63,13
-48.7409,-26.9452,11.63,13
-48.7427,-26.9455,11.63,13
-48.6874,-26.9007,5.01,13
-48.6869,-26.9005,5.01,13
-48.687,-26.901,5.01,13
-48.6874,-26.8999,5.01,13
-48.6878,-26.8997,5.01,13
-48.6873,-26.8995,5.01,13
-48.6874,-26.9003,5.01,13
-48.6887,-26.9021,11.02,13
-48.687,-26.9018,5.01,13
-48.687,-26.9014,5.01,13
-48.687,-26.9022,4.1466666666666665,13
-48.6817,-26.9009,13.34,13
-48.6826,-26.9008,9.083333333333334,13
-48.683,-26.9006,9.083333333333334,13
-48.6821,-26.9006,13.34,13
-48.6808,-26.9009,13.34,13
-48.6804,-26.9007,13.34,13
-48.6813,-26.9007,13.34,13
-48.6852,-26.9011,9.083333333333334,13
-48.6848,-26.9009,9.083333333333334,13
-48.6839,-26.9005,9.083333333333334,13
-48.6839,-26.9009,9.083333333333334,13
-48.6843,-26.9007,9.083333333333334,13
-48.6835,-26.9008,9.083333333333334,13
-48.6867,-26.9054,5.35,13
-48.6867,-26.9058,5.35,13
-48.6866,-26.9037,4.1466666666666665,13
-48.687,-26.9035,4.1466666666666665,13
-48.6866,-26.9033,4.1466666666666665,13
-48.6866,-26.9041,4.1466666666666665,13
-48.6871,-26.9039,4.1466666666666665,13
-48.687,-26.9026,4.1466666666666665,13
-48.687,-26.903,4.1466666666666665,13
-48.6866,-26.9045,4.1466666666666665,13
-48.6867,-26.905,3.885,13
-48.6823,-26.9056,13.14,13
-48.6819,-26.9055,13.14,13
-48.681,-26.9055,13.14,13
-48.6806,-26.9053,13.14,13
-48.6877,-26.8984,5.01,13
-48.6878,-26.8988,5.01,13
-48.6878,-26.8992,5.01,13
-48.6784,-26.8938,8.69,13
-48.6793,-26.8937,8.69,13
-48.6797,-26.8935,8.69,13
-48.6788,-26.8935,8.69,13
-48.6775,-26.8938,8.69,13
-48.6771,-26.8936,8.69,13
-48.678,-26.8936,8.69,13
-48.6819,-26.8935,8.69,13
-48.6815,-26.8938,8.69,13
-48.6806,-26.8934,8.69,13
-48.681,-26.8936,8.69,13
-48.6802,-26.8936,8.69,13
-48.6833,-26.9085,4.54,13
-48.6871,-26.906,5.35,13
-48.6887,-26.9124,6.12,13
-48.6887,-26.9128,6.12,13
-48.6886,-26.9115,12.476666666666667,13
-48.6891,-26.9121,6.12,13
-48.6886,-26.9119,10.8875,13
-48.6878,-26.9116,12.476666666666667,13
-48.6873,-26.9114,12.476666666666667,13
-48.6882,-26.9118,12.476666666666667,13
-48.6887,-26.9136,6.12,13
-48.6891,-26.9134,6.12,13
-48.6887,-26.9132,6.12,13
-48.6887,-26.914,6.12,13
-48.6891,-26.9125,6.12,13
-48.6891,-26.913,6.12,13
-48.6851,-26.9109,12.476666666666667,13
