x,y,speedKMH,hour
-48.8593,-27.0354,36.11,5
-48.8598,-27.036,36.11,5
-48.8594,-27.0358,36.11,5
-48.8562,-27.0333,36.11,5
-48.8558,-27.0331,36.11,5
-48.8567,-27.0335,36.11,5
-48.858,-27.0344,36.11,5
-48.8576,-27.0343,36.11,5
-48.858,-27.0349,36.11,5
-48.8576,-27.0347,36.11,5
-48.8571,-27.0341,36.11,5
-48.8567,-27.0339,36.11,5
-48.8611,-27.037,36.11,5
-48.8603,-27.0366,36.11,5
-48.8607,-27.0364,36.11,5
-48.8602,-27.0362,36.11,5
-48.8607,-27.0368,36.11,5
-48.8589,-27.0352,36.11,5
-48.8585,-27.035,36.11,5
-48.8589,-27.0356,36.11,5
-48.8544,-27.0322,36.11,5
-48.854,-27.032,36.11,5
-48.8544,-27.0317,36.11,5
-48.8549,-27.0323,36.11,5
-48.854,-27.0316,36.11,5
-48.8535,-27.0314,36.11,5
-48.8553,-27.0329,36.11,5
-48.8558,-27.0327,36.11,5
-48.8553,-27.0325,36.11,5
-48.8522,-27.03,36.11,5
-48.8517,-27.0298,36.11,5
-48.8522,-27.0304,36.11,5
-48.8513,-27.0297,36.11,5
-48.8531,-27.0308,36.11,5
-48.8526,-27.0306,36.11,5
-48.8531,-27.0312,36.11,5
-48.8486,-27.0265,36.11,5
-48.8481,-27.0263,36.11,5
-48.8485,-27.0261,36.11,5
-48.8481,-27.0259,36.11,5
-48.849,-27.0267,36.11,5
-48.8495,-27.0273,36.11,5
-48.849,-27.0271,36.11,5
-48.8499,-27.0279,36.11,5
-48.8495,-27.0277,36.11,5
-48.8504,-27.028,36.11,5
-48.8517,-27.0294,36.11,5
-48.8513,-27.0292,36.11,5
-48.8508,-27.0286,36.11,5
-48.8504,-27.0285,36.11,5
-48.8508,-27.0291,36.11,5
-48.6776,-26.9082,14.92,5
-48.6758,-26.9075,14.92,5
-48.6758,-26.9079,14.92,5
-48.6763,-26.9077,14.92,5
-48.6754,-26.9078,14.92,5
-48.6745,-26.9074,14.92,5
-48.6741,-26.9072,14.92,5
-48.675,-26.9076,14.92,5
-48.6767,-26.9083,14.92,5
-48.6763,-26.9081,14.92,5
-48.6772,-26.9081,14.92,5
-48.6767,-26.9079,14.92,5
-48.6565,-26.9037,9.16,5
-48.6569,-26.9035,9.16,5
-48.656,-26.904,9.16,5
-48.6727,-26.9067,14.92,5
-48.6736,-26.907,14.92,5
-48.6732,-26.9068,14.92,5
-48.6548,-26.9047,9.16,5
-48.6543,-26.9053,9.16,5
-48.6548,-26.9051,9.16,5
-48.6544,-26.9057,9.16,5
-48.6552,-26.9044,9.16,5
-48.6556,-26.9042,9.16,5
-48.6544,-26.9062,9.16,5
-48.6539,-26.906,9.16,5
-48.6874,-26.9007,12.23,12
-48.6869,-26.9005,12.23,12
-48.687,-26.901,12.23,12
-48.687,-26.9018,12.23,12
-48.687,-26.9014,12.23,12
-48.687,-26.9022,12.23,12
-48.6866,-26.9037,6.94,12
-48.687,-26.9035,12.23,12
-48.6866,-26.9033,12.23,12
-48.6866,-26.9041,6.94,12
-48.6871,-26.9039,6.94,12
-48.687,-26.9026,12.23,12
-48.687,-26.903,12.23,12
-48.6866,-26.9045,12.23,12
-48.6902,-26.8932,9.82,12
-48.6902,-26.8936,9.82,12
-48.6902,-26.8924,9.82,12
-48.6901,-26.892,9.82,12
-48.6902,-26.8928,9.82,12
-48.6902,-26.8941,9.82,12
-48.6907,-26.9091,9.31,12
-48.6833,-26.9085,5.16,12
-48.6889,-26.9054,4.99,12
-48.6908,-26.9108,9.31,12
-48.6908,-26.9112,9.31,12
-48.6908,-26.9099,9.31,12
-48.6908,-26.9095,9.31,12
-48.6908,-26.9103,9.31,12
-48.6908,-26.9116,9.31,12
-48.6908,-26.912,9.31,12
-48.6906,-26.9053,4.99,12
-48.6897,-26.9054,4.99,12
-48.6893,-26.9052,4.99,12
-48.6902,-26.9056,4.99,12
-48.6776,-26.9091,13.58,12
-48.6794,-26.9102,9.26,12
-48.6798,-26.91,9.26,12
-48.679,-26.91,9.26,12
-48.6776,-26.9095,13.58,12
-48.6781,-26.9101,9.26,12
-48.6777,-26.9099,13.58,12
-48.6773,-26.9114,11.373333333333333,12
-48.6773,-26.9118,11.373333333333333,12
-48.6785,-26.9103,9.26,12
-48.6829,-26.9092,5.16,12
-48.6833,-26.9089,5.16,12
-48.6829,-26.9096,5.16,12
-48.6833,-26.9093,5.16,12
-48.6807,-26.9099,9.26,12
-48.6803,-26.9102,9.26,12
-48.6829,-26.91,5.16,12
-48.6772,-26.9093,13.58,12
-48.6772,-26.9097,13.58,12
-48.6772,-26.9106,11.373333333333333,12
-48.6777,-26.9103,10.845,12
-48.6772,-26.9102,10.845,12
-48.6773,-26.911,11.373333333333333,12
-48.7107,-26.8921,20.35,12
-48.7107,-26.8926,20.35,12
-48.7005,-26.888,6.845,12
-48.7009,-26.8877,6.845,12
-48.7001,-26.8878,6.845,12
-48.7027,-26.888,6.845,12
-48.7018,-26.8881,6.845,12
-48.7022,-26.8879,6.845,12
-48.7014,-26.8879,6.845,12
-48.7113,-26.8961,20.35,12
-48.7113,-26.8965,20.35,12
