x,y,speedKMH,hour
-48.6817,-26.9009,5.92,8
-48.6826,-26.9008,5.92,8
-48.6821,-26.9006,5.92,8
-48.6808,-26.9009,5.92,8
-48.6804,-26.9007,5.92,8
-48.6813,-26.9007,5.92,8
-48.6818,-26.9042,5.86,8
-48.6823,-26.904,5.86,8
-48.6814,-26.904,5.86,8
-48.6809,-26.9038,5.86,8
-48.6827,-26.9042,5.86,8
-48.6921,-26.8981,6.22,8
-48.6912,-26.8982,6.22,8
-48.6917,-26.8979,6.22,8
-48.6904,-26.8982,6.22,8
-48.6908,-26.898,6.22,8
-48.6939,-26.898,6.22,8
-48.6934,-26.8978,6.22,8
-48.6925,-26.8979,6.22,8
-48.6943,-26.8982,6.22,8
-48.693,-26.8981,6.22,8
-48.6787,-26.9029,5.4,8
-48.6783,-26.9028,5.4,8
-48.6792,-26.9031,5.4,8
-48.6783,-26.9023,5.4,8
-48.6778,-26.9022,5.4,8
-48.6796,-26.9037,5.4,8
-48.6792,-26.9035,5.4,8
-48.6796,-26.9033,5.4,8
-48.6954,-26.9052,14.35,8
-48.695,-26.9051,14.35,8
-48.6972,-26.9051,14.35,8
-48.6976,-26.9049,14.35,8
-48.6967,-26.9049,14.35,8
-48.6958,-26.905,14.35,8
-48.6985,-26.9048,14.35,8
-48.6989,-26.905,14.35,8
-48.698,-26.9051,14.35,8
-48.6963,-26.9052,14.35,8
-48.6776,-26.9087,6.925,8
-48.6776,-26.9082,6.925,8
-48.6776,-26.9091,9.358,8
-48.6776,-26.9095,9.358,8
-48.6777,-26.9099,9.358,8
-48.6773,-26.9114,10.38,8
-48.6773,-26.9118,10.38,8
-48.6772,-26.9093,9.358,8
-48.6772,-26.9097,9.358,8
-48.6772,-26.9106,9.152857142857142,8
-48.6777,-26.9103,9.152857142857142,8
-48.6772,-26.9102,9.152857142857142,8
-48.6773,-26.911,9.152857142857142,8
-48.7088,-26.8893,11.21,8
-48.7084,-26.8891,11.21,8
-48.7093,-26.8895,11.21,8
-48.708,-26.889,11.21,8
-48.7075,-26.8888,11.21,8
-48.7102,-26.8899,11.21,8
-48.7097,-26.8897,11.21,8
-48.7071,-26.8882,11.21,8
-48.7066,-26.888,11.21,8
-48.7071,-26.8886,11.21,8
-48.7075,-26.8884,11.21,8
-48.7066,-26.8884,11.21,8
-48.7057,-26.9,6.6,8
-48.7048,-26.8996,6.6,8
-48.7053,-26.8998,6.6,8
-48.7044,-26.8999,6.6,8
-48.7106,-26.8905,11.21,8
-48.7102,-26.8903,11.21,8
-48.7106,-26.89,11.21,8
-48.7009,-26.8992,9.335,8
-48.7013,-26.8994,9.335,8
-48.7005,-26.8995,12.07,8
-48.6996,-26.8991,12.07,8
-48.6996,-26.8995,12.07,8
-48.7,-26.8993,12.07,8
-48.6991,-26.8994,12.07,8
-48.7035,-26.8995,9.335,8
-48.7039,-26.8993,12.07,8
-48.7031,-26.8993,9.335,8
-48.704,-26.8997,9.335,8
-48.7031,-26.8997,6.6,8
-48.7022,-26.8994,9.335,8
-48.7026,-26.8991,12.07,8
-48.7018,-26.8992,9.335,8
-48.7026,-26.8996,6.6,8
-48.6687,-26.9029,6.54,8
-48.6687,-26.9025,6.54,8
-48.6687,-26.9034,6.54,8
-48.6942,-26.8838,5.59,8
-48.6938,-26.8836,5.59,8
-48.6951,-26.8841,5.59,8
-48.6947,-26.8839,5.59,8
-48.6951,-26.8845,5.59,8
-48.6956,-26.8843,5.59,8
-48.6956,-26.8847,5.59,8
-48.6949,-26.9153,3.66,8
-48.6953,-26.9142,14.685,8
-48.6957,-26.914,18.36,8
-48.6948,-26.9141,18.36,8
-48.6953,-26.9138,14.685,8
-48.6953,-26.9147,3.66,8
-48.6944,-26.9139,18.36,8
-48.694,-26.9137,18.36,8
-48.6953,-26.9151,3.66,8
