x,y,speedKMH,hour
-48.6874,-26.9007,12.36,15
-48.6869,-26.9005,12.36,15
-48.687,-26.901,12.36,15
-48.6887,-26.9021,12.835,15
-48.687,-26.9018,12.36,15
-48.687,-26.9014,12.36,15
-48.687,-26.9022,8.77,15
-48.6817,-26.9009,8.98,15
-48.6826,-26.9008,8.326666666666666,15
-48.683,-26.9006,9.765,15
-48.6821,-26.9006,8.98,15
-48.6808,-26.9009,8.98,15
-48.6804,-26.9007,8.98,15
-48.6813,-26.9007,8.98,15
-48.6852,-26.9011,9.765,15
-48.6848,-26.9009,9.765,15
-48.6839,-26.9005,9.765,15
-48.6839,-26.9009,9.765,15
-48.6843,-26.9007,9.765,15
-48.6835,-26.9008,9.765,15
-48.6867,-26.9054,12.36,15
-48.6867,-26.9058,12.36,15
-48.6866,-26.9037,8.77,15
-48.687,-26.9035,8.77,15
-48.6866,-26.9033,8.77,15
-48.6866,-26.9041,12.36,15
-48.6871,-26.9039,12.36,15
-48.687,-26.9026,8.77,15
-48.687,-26.903,8.77,15
-48.6866,-26.9045,12.36,15
-48.6867,-26.905,12.36,15
-48.6909,-26.9001,13.635,15
-48.6904,-26.9003,13.635,15
-48.6713,-26.904,7.17,15
-48.6718,-26.9046,7.17,15
-48.6714,-26.9045,7.17,15
-48.6784,-26.8938,5.88,15
-48.6793,-26.8937,5.88,15
-48.6797,-26.8935,5.88,15
-48.6788,-26.8935,5.88,15
-48.678,-26.8936,5.88,15
-48.6806,-26.8934,5.88,15
-48.681,-26.8936,5.88,15
-48.6802,-26.8936,5.88,15
-48.6907,-26.907,14.67,15
-48.6907,-26.9066,14.67,15
-48.6916,-26.9095,8.06,15
-48.6833,-26.9081,6.77,15
-48.6833,-26.9085,6.77,15
-48.6871,-26.906,12.36,15
-48.6887,-26.9124,5.84,15
-48.6887,-26.9128,5.84,15
-48.6886,-26.9115,7.82,15
-48.6891,-26.9121,12.34,15
-48.6886,-26.9119,6.83,15
-48.6878,-26.9116,7.82,15
-48.6873,-26.9114,7.82,15
-48.6882,-26.9118,7.82,15
-48.6887,-26.9136,5.84,15
-48.6891,-26.9134,5.84,15
-48.6887,-26.9132,5.84,15
-48.6887,-26.914,5.84,15
-48.69,-26.9125,18.84,15
-48.6891,-26.9125,5.84,15
-48.6895,-26.9123,18.84,15
-48.6891,-26.913,5.84,15
-48.6921,-26.9096,8.06,15
-48.6912,-26.9097,8.06,15
-48.6908,-26.9095,8.06,15
-48.6904,-26.9122,18.84,15
-48.69,-26.9121,18.84,15
-48.686,-26.9109,7.82,15
-48.6855,-26.9107,7.82,15
-48.6869,-26.9112,7.82,15
-48.6864,-26.911,7.82,15
-48.694,-26.9022,12.835,15
-48.6931,-26.9022,12.835,15
-48.6936,-26.902,12.835,15
-48.6909,-26.9022,12.835,15
-48.6905,-26.902,13.635,15
-48.6914,-26.9024,12.835,15
-48.6905,-26.9024,13.235,15
-48.6896,-26.902,12.835,15
-48.6901,-26.9022,12.835,15
