filename,mean_speedKMH
2023-01-01-0,13
2023-01-01-1,20
2023-01-01-2,21
2023-01-01-3,21
2023-01-01-4,25
2023-01-01-5,11
2023-01-01-6,14
2023-01-01-7,12
2023-01-01-8,21
2023-01-01-9,13
2023-01-01-10,17
2023-01-01-11,17
2023-01-01-12,12
2023-01-01-13,16
2023-01-01-14,12
2023-01-01-15,11
2023-01-01-16,12
2023-01-01-17,11
2023-01-01-18,10
2023-01-01-19,12
2023-01-01-20,16
2023-01-01-21,12
2023-01-01-22,11
2023-01-01-23,13
2023-01-02-0,18
2023-01-02-1,8
2023-01-02-2,8
2023-01-02-3,16
2023-01-02-4,11
2023-01-02-5,29
2023-01-02-6,32
2023-01-02-7,27
2023-01-02-8,25
2023-01-02-9,17
2023-01-02-10,21
2023-01-02-11,16
2023-01-02-12,15
2023-01-02-13,16
2023-01-02-14,18
2023-01-02-15,16
2023-01-02-16,16
2023-01-02-17,20
2023-01-02-18,17
2023-01-02-19,18
2023-01-02-20,20
2023-01-02-21,23
2023-01-02-22,26
2023-01-02-23,37
2023-01-03-0,32
2023-01-03-1,14
2023-01-03-2,31
2023-01-03-3,49
2023-01-03-4,29
2023-01-03-5,38
2023-01-03-6,25
2023-01-03-7,27
2023-01-03-8,19
2023-01-03-9,17
2023-01-03-10,19
2023-01-03-11,19
2023-01-03-12,19
2023-01-03-13,26
2023-01-03-14,15
2023-01-03-15,15
2023-01-03-16,15
2023-01-03-17,13
2023-01-03-18,15
2023-01-03-19,20
2023-01-03-20,29
2023-01-03-21,28
2023-01-03-22,26
2023-01-03-23,18
2023-01-04-0,16
2023-01-04-1,35
2023-01-04-2,20
2023-01-04-3,52
2023-01-04-4,30
2023-01-04-5,54
2023-01-04-6,40
2023-01-04-7,24
2023-01-04-8,24
2023-01-04-9,23
2023-01-04-10,18
2023-01-04-11,17
2023-01-04-12,18
2023-01-04-13,17
2023-01-04-14,18
2023-01-04-15,18
2023-01-04-16,17
2023-01-04-17,19
2023-01-04-18,14
2023-01-04-19,17
2023-01-04-20,14
2023-01-04-21,12
2023-01-04-22,12
2023-01-04-23,14
2023-01-05-0,13
2023-01-05-1,41
2023-01-05-2,43
2023-01-05-3,10
2023-01-05-4,31
2023-01-05-5,12
2023-01-05-6,31
2023-01-05-7,15
2023-01-05-8,19
2023-01-05-9,18
2023-01-05-10,18
2023-01-05-11,16
2023-01-05-12,15
2023-01-05-13,24
2023-01-05-14,19
2023-01-05-15,17
2023-01-05-16,17
2023-01-05-17,13
2023-01-05-18,15
2023-01-05-19,19
2023-01-05-20,22
2023-01-05-21,19
2023-01-05-22,14
2023-01-05-23,30
2023-01-06-0,15
2023-01-06-1,12
2023-01-06-2,37
2023-01-06-3,36
2023-01-06-4,12
2023-01-06-5,10
2023-01-06-6,25
2023-01-06-7,21
2023-01-06-8,17
2023-01-06-9,23
2023-01-06-10,22
2023-01-06-11,14
2023-01-06-12,24
2023-01-06-13,20
2023-01-06-14,16
2023-01-06-15,12
2023-01-06-16,11
2023-01-06-17,17
2023-01-06-18,18
2023-01-06-19,21
2023-01-06-20,20
2023-01-06-21,16
2023-01-06-22,11
2023-01-06-23,20
2023-01-07-0,13
2023-01-07-1,17
2023-01-07-2,9
2023-01-07-3,7
2023-01-07-4,30
2023-01-07-5,8
2023-01-07-6,33
2023-01-07-7,15
2023-01-07-8,26
2023-01-07-9,27
2023-01-07-10,20
2023-01-07-11,17
2023-01-07-12,18
2023-01-07-13,12
2023-01-07-14,23
2023-01-07-15,15
2023-01-07-16,12
2023-01-07-17,15
2023-01-07-18,14
2023-01-07-19,16
2023-01-07-20,11
2023-01-07-21,11
2023-01-07-22,13
2023-01-07-23,11
2023-01-08-0,10
2023-01-08-1,29
2023-01-08-2,42
2023-01-08-3,32
2023-01-08-4,37
2023-01-08-5,17
2023-01-08-6,12
2023-01-08-7,24
2023-01-08-8,8
2023-01-08-9,28
2023-01-08-10,22
2023-01-08-11,15
2023-01-08-12,21
2023-01-08-13,11
2023-01-08-14,12
2023-01-08-15,12
2023-01-08-16,12
2023-01-08-17,13
2023-01-08-18,20
2023-01-08-19,10
2023-01-08-20,14
2023-01-08-21,14
2023-01-08-22,13
2023-01-08-23,14
2023-01-09-0,27
2023-01-09-1,11
2023-01-09-2,53
2023-01-09-4,47
2023-01-09-6,41
2023-01-09-7,26
2023-01-09-8,16
2023-01-09-9,21
2023-01-09-10,17
2023-01-09-11,18
2023-01-09-12,21
2023-01-09-13,16
2023-01-09-14,15
2023-01-09-15,17
2023-01-09-16,14
2023-01-09-17,17
2023-01-09-18,14
2023-01-09-19,13
2023-01-09-20,13
2023-01-09-21,15
