x,y,speedKMH,hour
-48.6904,-26.8982,2.4,20
-48.6899,-26.8981,2.4,20
-48.689,-26.8981,2.4,20
-48.6886,-26.8979,2.4,20
-48.6895,-26.8983,2.4,20
-48.6985,-26.9048,5.34,20
-48.6985,-26.9053,5.34,20
-48.7059,-26.8939,9.8,20
-48.7064,-26.8937,9.8,20
-48.7059,-26.8935,9.8,20
-48.706,-26.8943,9.8,20
-48.7064,-26.8941,9.8,20
-48.7064,-26.8932,9.8,20
-48.7059,-26.8931,9.8,20
-48.7064,-26.8949,9.8,20
-48.706,-26.8947,9.8,20
-48.7064,-26.8945,9.8,20
-48.7064,-26.8953,9.8,20
-48.706,-26.8952,9.8,20
-48.7001,-26.8882,16.74,20
-48.7001,-26.8886,16.74,20
-48.7005,-26.8876,8.52,20
-48.7009,-26.8873,8.52,20
-48.7005,-26.8871,8.52,20
-48.7009,-26.8877,8.52,20
-48.7001,-26.8878,16.74,20
-48.7001,-26.8895,16.74,20
-48.7001,-26.889,16.74,20
-48.7001,-26.8899,16.74,20
-48.7002,-26.8911,16.74,20
-48.7002,-26.8915,16.74,20
-48.7006,-26.8905,16.74,20
-48.7001,-26.8903,16.74,20
-48.7006,-26.8909,16.74,20
-48.7002,-26.8907,16.74,20
-48.7002,-26.8924,16.74,20
-48.7006,-26.8921,16.74,20
-48.7002,-26.892,16.74,20
-48.7002,-26.8928,16.74,20
-48.7007,-26.8926,16.74,20
-48.7006,-26.8913,16.74,20
-48.7006,-26.8917,16.74,20
-48.7003,-26.8834,8.52,20
-48.7004,-26.8838,8.52,20
-48.7009,-26.8865,8.52,20
-48.7009,-26.8869,8.52,20
-48.7004,-26.8846,8.52,20
-48.7004,-26.8842,8.52,20
-48.7004,-26.885,8.52,20
-48.7008,-26.8848,8.52,20
-48.7004,-26.8863,8.52,20
-48.7005,-26.8867,8.52,20
-48.7009,-26.8856,8.52,20
-48.7004,-26.8855,8.52,20
-48.7008,-26.8852,8.52,20
-48.7009,-26.8861,8.52,20
-48.7004,-26.8859,8.52,20
-48.7065,-26.8966,9.8,20
-48.7056,-26.8966,3.83,20
-48.706,-26.8964,9.8,20
-48.7056,-26.8971,3.83,20
-48.7064,-26.8958,9.8,20
-48.7065,-26.8962,9.8,20
-48.706,-26.8956,9.8,20
-48.706,-26.896,9.8,20
-48.7056,-26.8975,3.83,20
-48.7056,-26.8979,3.83,20
-48.7057,-26.8996,3.83,20
-48.7057,-26.8987,3.83,20
-48.7057,-26.8983,3.83,20
-48.7057,-26.8991,3.83,20
-48.7007,-26.8934,16.74,20
-48.7002,-26.8932,16.74,20
-48.7007,-26.893,16.74,20
-48.7007,-26.8938,16.74,20
-48.7003,-26.8936,16.74,20
-48.6578,-26.903,8.36,20
-48.6586,-26.9034,8.36,20
-48.6582,-26.9032,8.36,20
-48.6933,-26.8834,11.2,20
-48.6942,-26.8838,11.2,20
-48.6934,-26.8838,11.2,20
-48.6938,-26.8836,11.2,20
-48.6947,-26.8835,11.2,20
-48.6942,-26.8833,11.2,20
-48.6925,-26.8839,11.2,20
-48.6929,-26.8836,11.2,20
-48.6921,-26.8841,11.2,20
-48.696,-26.8845,11.2,20
-48.6951,-26.8841,11.2,20
-48.6947,-26.8839,11.2,20
-48.6956,-26.8843,11.2,20
-48.696,-26.8849,11.2,20
-48.6956,-26.8847,11.2,20
-48.683,-26.9261,4.77,20
-48.6834,-26.9259,4.77,20
-48.6826,-26.9259,4.77,20
-48.6817,-26.926,4.77,20
-48.6931,-26.915,7.87,20
-48.6936,-26.9148,7.87,20
-48.6931,-26.9146,7.87,20
-48.6931,-26.9154,7.87,20
-48.6936,-26.9152,7.87,20
-48.6935,-26.9139,7.87,20
-48.6935,-26.9143,7.87,20
-48.6936,-26.916,7.87,20
-48.6932,-26.9158,7.87,20
-48.6936,-26.9156,7.87,20
-48.6936,-26.9164,7.87,20
-48.6931,-26.9138,7.87,20
-48.6931,-26.9142,7.87,20
-48.6936,-26.9169,7.87,20
-48.6772,-26.9212,14.36,20
-48.6767,-26.9211,14.36,20
-48.6772,-26.9217,14.36,20
-48.6776,-26.9214,14.36,20
-48.6767,-26.9215,14.36,20
-48.6759,-26.9211,14.36,20
-48.6763,-26.9209,14.36,20
-48.6754,-26.9209,14.36,20
-48.6758,-26.9207,14.36,20
-48.6763,-26.9213,14.36,20
-48.6781,-26.922,14.36,20
-48.6776,-26.9218,14.36,20
-48.6785,-26.9218,14.36,20
-48.6781,-26.9216,14.36,20
-48.6741,-26.9204,14.36,20
-48.6745,-26.9202,14.36,20
-48.675,-26.9208,14.36,20
-48.6745,-26.9206,14.36,20
-48.6754,-26.9205,14.36,20
-48.675,-26.9203,14.36,20
-48.6803,-26.9225,14.36,20
-48.6798,-26.9223,14.36,20
-48.6803,-26.9229,14.36,20
-48.6798,-26.9227,14.36,20
-48.679,-26.9224,14.36,20
-48.6794,-26.9221,14.36,20
-48.6785,-26.9222,14.36,20
-48.6789,-26.922,14.36,20
-48.6794,-26.9226,14.36,20
-48.6821,-26.9262,4.77,20
-48.6813,-26.9262,4.77,20
-48.6804,-26.9263,4.77,20
-48.6808,-26.926,4.77,20
-48.7003,-26.9089,13.75,20
-48.7008,-26.9087,13.75,20
-48.7003,-26.9085,13.75,20
-48.7004,-26.9093,13.75,20
-48.7008,-26.9091,13.75,20
-48.7008,-26.9082,13.75,20
-48.7003,-26.9076,13.75,20
-48.7003,-26.9081,13.75,20
-48.7008,-26.9099,12.06,20
-48.7004,-26.9097,12.06,20
-48.7008,-26.9095,12.06,20
-48.7008,-26.9103,12.06,20
-48.7004,-26.9102,12.06,20
-48.6942,-26.9093,6.97,20
-48.6947,-26.9095,6.97,20
-48.6938,-26.9095,6.97,20
-48.6929,-26.9096,6.97,20
-48.6934,-26.9093,6.97,20
-48.6925,-26.9094,6.97,20
-48.6956,-26.9094,6.97,20
-48.6951,-26.9092,6.97,20
-48.6985,-26.9065,5.34,20
-48.6985,-26.9069,5.34,20
-48.6985,-26.9073,5.34,20
-48.7004,-26.9114,12.06,20
-48.7008,-26.9108,12.06,20
-48.7009,-26.9112,12.06,20
-48.7004,-26.9106,12.06,20
-48.7004,-26.911,12.06,20
-48.6935,-26.9135,7.87,20
-48.7001,-26.9031,15.44,20
-48.7001,-26.9026,15.44,20
-48.7002,-26.9035,15.44,20
-48.7001,-26.9018,15.44,20
-48.7001,-26.9022,15.44,20
-48.7002,-26.9039,15.44,20
-48.7002,-26.9043,15.44,20
-48.7002,-26.906,11.453333333333333,20
-48.7002,-26.9056,11.453333333333333,20
-48.7003,-26.9064,11.453333333333333,20
-48.6985,-26.9057,5.34,20
-48.6985,-26.9061,5.34,20
-48.7002,-26.9047,15.44,20
-48.7002,-26.9051,11.453333333333333,20
-48.7003,-26.9068,11.453333333333333,20
-48.7003,-26.9072,11.453333333333333,20
-48.7042,-26.9199,7.86,20
-48.7046,-26.9197,7.86,20
-48.7042,-26.9195,7.86,20
-48.7038,-26.9202,7.86,20
-48.7046,-26.9193,7.86,20
-48.6651,-26.9122,1.2,20
-48.6655,-26.9128,1.2,20
-48.6651,-26.9126,1.2,20
-48.6637,-26.9112,1.2,20
-48.6633,-26.911,1.2,20
-48.6637,-26.9116,1.2,20
-48.6628,-26.9108,1.2,20
-48.6646,-26.912,1.2,20
-48.6642,-26.9118,1.2,20
-48.6646,-26.9124,1.2,20
-48.6703,-26.9123,2.25,20
-48.6533,-26.9131,20.866,20
-48.6537,-26.9129,20.866,20
-48.6533,-26.9127,20.866,20
-48.6533,-26.9135,20.866,20
-48.6537,-26.9121,20.866,20
-48.6537,-26.9125,20.866,20
-48.6533,-26.914,20.866,20
-48.6533,-26.9144,21.8575,20
-48.6545,-26.9103,13.36,20
-48.6549,-26.9101,13.36,20
-48.6541,-26.9101,20.866,20
-48.6545,-26.9107,13.36,20
-48.655,-26.9105,13.36,20
-48.6541,-26.9106,20.866,20
-48.6549,-26.9093,13.36,20
-48.6549,-26.9097,13.36,20
-48.6536,-26.9104,20.866,20
-48.654,-26.9093,20.866,20
-48.654,-26.9089,20.866,20
-48.6541,-26.9097,20.866,20
-48.6537,-26.9112,20.866,20
-48.6537,-26.9108,20.866,20
-48.6537,-26.9116,20.866,20
-48.653,-26.9159,21.8575,20
-48.6525,-26.9161,21.8575,20
-48.6529,-26.915,21.8575,20
-48.6534,-26.9148,21.8575,20
-48.6529,-26.9154,21.8575,20
-48.6534,-26.9152,21.8575,20
-48.6574,-26.9062,4.63,20
-48.6557,-26.9054,13.36,20
-48.6557,-26.9059,13.36,20
-48.6574,-26.9066,4.63,20
-48.6575,-26.907,4.63,20
-48.657,-26.9068,4.63,20
-48.6604,-26.9045,8.36,20
-48.66,-26.9043,8.36,20
-48.6591,-26.904,8.36,20
-48.6587,-26.9038,8.36,20
-48.6591,-26.9036,8.36,20
-48.6595,-26.9042,8.36,20
-48.6609,-26.9047,8.36,20
-48.657,-26.9077,4.63,20
-48.657,-26.9072,4.63,20
-48.6571,-26.9081,4.63,20
-48.6708,-26.9129,2.25,20
-48.6703,-26.9127,2.25,20
-48.6708,-26.9124,2.25,20
-48.6708,-26.9133,2.25,20
-48.6708,-26.9137,2.25,20
-48.6708,-26.9141,2.25,20
-48.7467,-26.8735,7.53,20
-48.7463,-26.8733,7.53,20
-48.7467,-26.8731,7.53,20
-48.7468,-26.8739,7.53,20
-48.7463,-26.8738,7.53,20
-48.7468,-26.8744,7.53,20
-48.7468,-26.8748,7.53,20
-48.7463,-26.8725,7.53,20
-48.7463,-26.8729,7.53,20
-48.7467,-26.8727,7.53,20
-48.7463,-26.8742,7.53,20
-48.7463,-26.8746,7.53,20
-48.7468,-26.8752,7.53,20
-48.7464,-26.875,7.53,20
-48.7468,-26.8756,7.53,20
-48.6544,-26.9074,20.866,20
-48.6544,-26.9078,20.866,20
-48.6553,-26.9065,13.36,20
-48.6557,-26.9063,13.36,20
-48.6552,-26.9061,13.36,20
-48.6553,-26.9069,13.36,20
-48.6549,-26.9084,13.36,20
-48.6553,-26.9082,13.36,20
-48.6544,-26.9082,20.866,20
-48.6549,-26.908,13.36,20
-48.6549,-26.9088,13.36,20
-48.6545,-26.9087,20.866,20
-48.6553,-26.9073,13.36,20
-48.6553,-26.9078,13.36,20
-48.654,-26.9085,20.866,20
-48.7017,-26.9222,7.86,20
-48.7025,-26.9217,7.86,20
-48.7021,-26.9215,7.86,20
-48.7025,-26.9213,7.86,20
-48.7021,-26.922,7.86,20
-48.7034,-26.9208,7.86,20
-48.7034,-26.9204,7.86,20
-48.7029,-26.9211,7.86,20
-48.6294,-26.9437,5.19,20
-48.6299,-26.9443,5.19,20
-48.6294,-26.9441,5.19,20
-48.6273,-26.9321,9.935,20
-48.6273,-26.9338,9.935,20
-48.6278,-26.9344,9.935,20
-48.6274,-26.9342,9.935,20
-48.6273,-26.9329,9.935,20
-48.6273,-26.9325,9.935,20
-48.6273,-26.9334,9.935,20
-48.6278,-26.9348,9.935,20
-48.6278,-26.9352,9.935,20
-48.6274,-26.9346,9.935,20
-48.6274,-26.935,9.935,20
-48.6294,-26.9429,5.19,20
-48.6294,-26.9424,5.19,20
-48.6294,-26.9433,5.19,20
-48.6295,-26.9445,5.19,20
-48.6279,-26.9365,9.935,20
-48.6278,-26.9356,9.935,20
-48.6279,-26.9361,9.935,20
-48.6513,-26.9176,21.8575,20
-48.6517,-26.9174,21.8575,20
-48.6521,-26.9168,21.8575,20
-48.6525,-26.9165,21.8575,20
-48.6517,-26.917,21.8575,20
-48.6709,-26.903,6.42,15
-48.6713,-26.9036,6.42,15
-48.6709,-26.9034,6.42,15
-48.6713,-26.904,6.42,15
-48.6718,-26.9046,6.42,15
-48.6714,-26.9045,6.42,15
-48.6819,-26.8948,11.35,15
-48.6811,-26.8948,11.35,15
-48.6815,-26.8946,11.35,15
-48.6806,-26.8947,11.35,15
-48.6784,-26.8946,11.35,15
-48.6789,-26.8948,11.35,15
-48.6798,-26.8947,11.35,15
-48.6802,-26.8945,11.35,15
-48.6793,-26.8945,11.35,15
-48.678,-26.8948,11.35,15
-48.6771,-26.8949,11.35,15
-48.6776,-26.8946,11.35,15
-48.6864,-26.9094,4.58,15
-48.6859,-26.9096,4.58,15
-48.6863,-26.9085,4.58,15
-48.6868,-26.9083,4.58,15
-48.6864,-26.9089,4.58,15
-48.6937,-26.9053,9.41,15
-48.6932,-26.9052,9.41,15
-48.6911,-26.9055,9.41,15
-48.6915,-26.9053,9.41,15
-48.6906,-26.9053,9.41,15
-48.6924,-26.9052,9.41,15
-48.6928,-26.9054,9.41,15
-48.6919,-26.9055,9.41,15
-48.7015,-26.8925,11.28,15
-48.702,-26.8923,11.28,15
-48.7015,-26.8921,11.28,15
-48.7015,-26.8929,11.28,15
-48.702,-26.8927,11.28,15
-48.7019,-26.8914,11.28,15
-48.7019,-26.8919,11.28,15
-48.702,-26.8935,11.28,15
-48.7016,-26.8933,11.28,15
-48.702,-26.8931,11.28,15
-48.702,-26.8939,11.28,15
-48.7016,-26.8938,11.28,15
-48.7001,-26.8882,16.34,15
-48.7001,-26.8886,16.34,15
-48.7001,-26.8878,16.34,15
-48.6987,-26.8872,14.3,15
-48.7001,-26.8895,16.34,15
-48.7001,-26.889,16.34,15
-48.7001,-26.8899,16.34,15
-48.6974,-26.8863,14.3,15
-48.6978,-26.886,14.3,15
-48.6974,-26.8859,14.3,15
-48.6978,-26.8865,14.3,15
-48.7002,-26.8911,16.34,15
-48.7002,-26.8915,16.34,15
-48.7006,-26.8905,16.34,15
-48.7001,-26.8903,16.34,15
-48.7006,-26.8909,16.34,15
-48.7002,-26.8907,16.34,15
-48.7002,-26.8924,16.34,15
-48.7006,-26.8921,16.34,15
-48.7002,-26.892,16.34,15
-48.7002,-26.8928,16.34,15
