x,y,speedKMH,hour
-48.679,-26.9117,7.28,5
-48.6795,-26.9119,7.28,5
-48.6786,-26.9119,7.28,5
-48.6782,-26.9118,7.28,5
-48.6803,-26.9118,7.28,5
-48.6808,-26.9116,7.28,5
-48.6799,-26.9117,7.28,5
-48.7059,-26.8914,3.11,5
-48.7063,-26.892,3.11,5
-48.7059,-26.8918,3.11,5
-48.7063,-26.8924,3.11,5
-48.7059,-26.8922,3.11,5
-48.7063,-26.8928,3.11,5
-48.7059,-26.8926,3.11,5
-48.7059,-26.8931,3.11,5
-48.6981,-26.8825,4.49,5
-48.6981,-26.8821,4.49,5
-48.6981,-26.8829,4.49,5
-48.6982,-26.8833,4.49,5
-48.6981,-26.8812,4.49,5
-48.6981,-26.8816,4.49,5
-48.683,-26.9261,6.62,5
-48.6834,-26.9259,6.62,5
-48.6826,-26.9259,6.62,5
-48.6817,-26.926,6.62,5
-48.6924,-26.9312,7.31,5
-48.6924,-26.9316,7.31,5
-48.6924,-26.9324,7.31,5
-48.6928,-26.9322,7.31,5
-48.6924,-26.9328,7.31,5
-48.6928,-26.9318,7.31,5
-48.6821,-26.9262,6.62,5
-48.6813,-26.9262,6.62,5
-48.6804,-26.9263,6.62,5
-48.6808,-26.926,6.62,5
-48.6594,-26.9123,6.37,5
-48.6598,-26.9117,6.37,5
-48.6594,-26.9115,6.37,5
-48.6594,-26.9119,6.37,5
-48.6545,-26.9103,5.93,5
-48.6549,-26.9101,5.93,5
-48.6545,-26.9107,5.93,5
-48.655,-26.9105,5.93,5
-48.6549,-26.9093,5.93,5
-48.6549,-26.9097,5.93,5
-48.6602,-26.9102,6.37,5
-48.6598,-26.9108,6.37,5
-48.6602,-26.9106,6.37,5
-48.6598,-26.9112,6.37,5
-48.6549,-26.9088,5.93,5
-48.6916,-26.9341,7.31,5
-48.692,-26.9331,7.31,5
-48.6916,-26.9337,7.31,5
-48.692,-26.9335,7.31,5
-48.7444,-26.882,9.28,5
-48.744,-26.8819,9.28,5
-48.7444,-26.8825,9.28,5
-48.744,-26.8823,9.28,5
-48.744,-26.884,9.28,5
-48.7445,-26.8837,9.28,5
-48.744,-26.8835,9.28,5
-48.7445,-26.8841,9.28,5
-48.7444,-26.8829,9.28,5
-48.7445,-26.8833,9.28,5
-48.7445,-26.885,9.28,5
-48.7445,-26.8846,9.28,5
-48.744,-26.8827,9.28,5
-48.744,-26.8831,9.28,5
-48.8369,-27.0053,11.67,14
-48.8369,-27.0049,11.67,14
-48.8355,-27.0039,11.67,14
-48.8351,-27.0038,11.67,14
-48.8355,-27.0035,11.67,14
-48.8346,-27.0032,11.67,14
-48.8342,-27.003,11.67,14
-48.8351,-27.0033,11.67,14
-48.8364,-27.0043,11.67,14
-48.836,-27.0041,11.67,14
-48.8364,-27.0047,11.67,14
