filename,mean_speedKMH
2021-02-01-20,13
2021-02-01-21,12
2021-02-01-22,12
2021-02-01-23,28
2021-02-02-0,10
2021-02-02-1,10
2021-02-02-2,10
2021-02-02-3,48
2021-02-02-4,14
2021-02-02-5,33
2021-02-02-6,19
2021-02-02-7,19
2021-02-02-8,12
2021-02-02-9,13
2021-02-02-10,14
2021-02-02-11,17
2021-02-02-12,12
2021-02-02-13,12
2021-02-02-14,13
2021-02-02-15,12
2021-02-02-16,13
2021-02-02-17,17
2021-02-02-18,15
2021-02-02-19,12
2021-02-02-20,14
2021-02-02-21,15
2021-02-02-22,14
2021-02-02-23,13
2021-02-03-0,14
2021-02-03-1,9
2021-02-03-2,16
2021-02-03-3,17
2021-02-03-5,14
2021-02-03-6,14
2021-02-03-7,18
2021-02-03-8,16
2021-02-03-9,11
2021-02-03-10,12
2021-02-03-11,13
2021-02-03-12,13
2021-02-03-13,12
2021-02-03-14,11
2021-02-03-15,14
2021-02-03-16,15
2021-02-03-17,15
2021-02-03-18,16
2021-02-03-19,16
2021-02-03-20,16
2021-02-03-21,14
2021-02-03-22,14
2021-02-03-23,14
2021-02-04-0,15
2021-02-04-1,11
2021-02-04-2,26
2021-02-04-3,36
2021-02-04-4,8
2021-02-04-5,17
2021-02-04-6,6
2021-02-04-7,18
2021-02-04-8,11
2021-02-04-9,14
2021-02-04-10,11
2021-02-04-11,15
2021-02-04-12,18
2021-02-04-13,12
2021-02-04-14,24
2021-02-04-15,19
2021-02-04-16,15
2021-02-04-17,19
2021-02-04-18,14
2021-02-04-19,15
2021-02-04-20,15
2021-02-04-21,12
2021-02-04-22,13
2021-02-04-23,23
2021-02-05-0,13
2021-02-05-1,26
2021-02-05-3,9
2021-02-05-5,20
2021-02-05-6,19
2021-02-05-7,13
2021-02-05-8,15
2021-02-05-9,14
2021-02-05-10,17
2021-02-05-11,20
2021-02-05-12,12
2021-02-05-13,14
2021-02-05-14,12
2021-02-05-15,17
2021-02-05-16,16
2021-02-05-17,15
2021-02-05-18,11
2021-02-05-19,14
2021-02-05-20,14
2021-02-05-21,16
2021-02-05-22,16
2021-02-05-23,21
2021-02-06-0,13
2021-02-06-1,9
2021-02-06-2,10
2021-02-06-3,12
2021-02-06-4,11
2021-02-06-5,25
2021-02-06-6,11
2021-02-06-7,13
2021-02-06-8,15
2021-02-06-9,12
2021-02-06-10,12
2021-02-06-11,10
2021-02-06-12,11
2021-02-06-13,14
2021-02-06-14,13
2021-02-06-15,18
2021-02-06-16,18
2021-02-06-17,13
2021-02-06-18,11
2021-02-06-19,13
2021-02-06-20,15
2021-02-06-21,13
2021-02-06-22,13
2021-02-06-23,12
2021-02-07-0,10
2021-02-07-1,11
2021-02-07-2,8
2021-02-07-3,9
2021-02-07-4,13
2021-02-07-5,13
2021-02-07-6,10
2021-02-07-7,15
2021-02-07-8,14
2021-02-07-9,14
2021-02-07-10,12
2021-02-07-11,13
2021-02-07-12,13
2021-02-07-13,12
2021-02-07-14,13
2021-02-07-15,16
2021-02-07-16,18
2021-02-07-17,13
2021-02-07-18,13
2021-02-07-19,13
2021-02-07-20,17
2021-02-07-21,14
2021-02-07-22,13
2021-02-07-23,12
2021-02-08-0,13
2021-02-08-1,42
2021-02-08-2,12
2021-02-08-4,14
2021-02-08-5,6
2021-02-08-6,23
2021-02-08-7,15
2021-02-08-8,12
2021-02-08-9,14
2021-02-08-10,14
2021-02-08-11,12
2021-02-08-12,12
2021-02-08-13,11
2021-02-08-14,13
2021-02-08-15,15
2021-02-08-16,12
2021-02-08-17,14
2021-02-08-18,14
2021-02-08-19,15
2021-02-08-20,17
2021-02-08-21,13
2021-02-08-22,12
2021-02-08-23,12
2021-02-09-0,12
2021-02-09-1,11
2021-02-09-2,40
2021-02-09-3,19
2021-02-09-5,36
2021-02-09-6,11
2021-02-09-7,17
2021-02-09-8,12
2021-02-09-9,13
2021-02-09-10,12
2021-02-09-11,17
2021-02-09-12,14
2021-02-09-13,12
2021-02-09-14,13
2021-02-09-15,12
2021-02-09-16,11
2021-02-09-17,17
2021-02-09-18,15
2021-02-09-19,12
2021-02-09-20,16
2021-02-09-21,15
2021-02-09-22,13
2021-02-09-23,11
2021-02-10-0,15
2021-02-10-1,9
2021-02-10-3,49
2021-02-10-4,16
2021-02-10-5,20
2021-02-10-6,13
2021-02-10-7,18
2021-02-10-8,12
2021-02-10-9,12
2021-02-10-10,16
2021-02-10-11,18
2021-02-10-12,16
2021-02-10-13,12
2021-02-10-14,13
2021-02-10-15,14
2021-02-10-16,14
2021-02-10-17,12
2021-02-10-18,11
2021-02-10-19,13
2021-02-10-20,14
2021-02-10-21,17
2021-02-10-22,22
2021-02-10-23,12
2021-02-11-0,13
2021-02-11-1,22
2021-02-11-2,21
2021-02-11-3,8
2021-02-11-4,18
2021-02-11-5,24
2021-02-11-6,11
2021-02-11-7,18
2021-02-11-8,12
2021-02-11-9,21
2021-02-11-10,12
2021-02-11-11,12
2021-02-11-12,13
2021-02-11-13,14
2021-02-11-14,15
2021-02-11-15,13
2021-02-11-16,13
2021-02-11-17,17
2021-02-11-18,14
2021-02-11-19,16
2021-02-11-20,15
2021-02-11-21,12
2021-02-11-22,19
2021-02-11-23,25
2021-02-12-0,15
2021-02-12-1,12
2021-02-12-2,10
2021-02-12-5,34
2021-02-12-6,20
2021-02-12-7,14
2021-02-12-8,13
2021-02-12-9,14
2021-02-12-10,15
2021-02-12-11,16
2021-02-12-12,14
2021-02-12-13,10
2021-02-12-14,19
2021-02-12-15,17
2021-02-12-16,13
2021-02-12-17,13
2021-02-12-18,10
2021-02-12-19,15
2021-02-12-20,15
2021-02-12-21,16
2021-02-12-22,13
2021-02-12-23,17
2021-02-13-0,28
2021-02-13-1,10
2021-02-13-2,38
2021-02-13-3,15
2021-02-13-4,12
2021-02-13-5,27
2021-02-13-6,11
2021-02-13-7,20
2021-02-13-8,15
2021-02-13-9,12
2021-02-13-10,14
2021-02-13-11,14
2021-02-13-12,13
2021-02-13-13,15
2021-02-13-14,15
2021-02-13-15,14
2021-02-13-16,14
2021-02-13-17,15
2021-02-13-18,15
2021-02-13-19,16
2021-02-13-20,16
2021-02-13-21,13
2021-02-13-22,15
2021-02-13-23,13
2021-02-14-0,14
2021-02-14-1,13
2021-02-14-2,13
2021-02-14-3,8
2021-02-14-4,15
2021-02-14-5,33
2021-02-14-6,22
2021-02-14-7,14
2021-02-14-8,13
2021-02-14-9,12
2021-02-14-10,16
2021-02-14-11,12
2021-02-14-12,16
2021-02-14-13,11
2021-02-14-14,13
2021-02-14-15,12
2021-02-14-16,13
2021-02-14-17,13
2021-02-14-18,12
2021-02-14-19,15
2021-02-14-20,16
2021-02-14-21,18
2021-02-14-22,21
2021-02-14-23,11
2021-02-15-0,9
2021-02-15-1,8
2021-02-15-2,14
2021-02-15-3,10
2021-02-15-4,35
2021-02-15-5,6
2021-02-15-6,15
2021-02-15-7,14
2021-02-15-8,16
2021-02-15-9,14
2021-02-15-10,15
2021-02-15-11,12
2021-02-15-12,12
2021-02-15-13,12
2021-02-15-14,13
2021-02-15-15,17
2021-02-15-16,12
2021-02-15-17,18
2021-02-15-18,21
2021-02-15-19,17
2021-02-15-20,13
2021-02-15-21,13
2021-02-15-22,12
2021-02-15-23,17
2021-02-16-0,11
2021-02-16-1,10
2021-02-16-2,10
2021-02-16-3,6
2021-02-16-4,7
2021-02-16-5,15
2021-02-16-6,14
2021-02-16-7,13
2021-02-16-8,19
2021-02-16-9,20
2021-02-16-10,20
2021-02-16-11,20
2021-02-16-12,21
2021-02-16-13,21
2021-02-16-14,14
2021-02-16-15,18
2021-02-16-16,12
2021-02-16-17,13
2021-02-16-18,12
2021-02-16-19,13
2021-02-16-20,14
2021-02-16-21,14
2021-02-16-22,12
2021-02-16-23,11
2021-02-17-0,13
2021-02-17-1,11
2021-02-17-2,10
2021-02-17-3,12
2021-02-17-4,30
2021-02-17-5,45
2021-02-17-6,11
2021-02-17-7,19
2021-02-17-8,16
2021-02-17-9,17
2021-02-17-10,24
2021-02-17-11,21
2021-02-17-12,12
2021-02-17-13,11
2021-02-17-14,15
2021-02-17-15,13
2021-02-17-16,13
2021-02-17-17,14
2021-02-17-18,11
2021-02-17-19,14
2021-02-17-20,15
2021-02-17-21,12
2021-02-17-22,16
2021-02-17-23,12
2021-02-18-0,10
2021-02-18-1,13
2021-02-18-2,10
2021-02-18-3,23
2021-02-18-5,13
2021-02-18-6,33
2021-02-18-7,15
2021-02-18-8,14
2021-02-18-9,17
2021-02-18-10,17
2021-02-18-11,15
2021-02-18-12,12
2021-02-18-13,11
2021-02-18-14,18
2021-02-18-15,18
2021-02-18-16,12
2021-02-18-17,13
2021-02-18-18,12
2021-02-18-19,13
2021-02-18-20,12
2021-02-18-21,13
2021-02-18-22,15
2021-02-18-23,14
2021-02-19-0,15
2021-02-19-1,17
2021-02-19-2,14
2021-02-19-3,14
2021-02-19-5,13
2021-02-19-6,15
2021-02-19-7,17
2021-02-19-8,13
2021-02-19-9,13
2021-02-19-10,12
2021-02-19-11,20
2021-02-19-12,12
2021-02-19-13,14
2021-02-19-14,19
2021-02-19-15,16
2021-02-19-16,15
2021-02-19-17,15
2021-02-19-18,13
2021-02-19-19,14
2021-02-19-20,14
2021-02-19-21,15
2021-02-19-22,18
2021-02-19-23,24
2021-02-20-0,30
2021-02-20-1,13
2021-02-20-2,52
2021-02-20-3,17
2021-02-20-4,12
2021-02-20-5,13
2021-02-20-6,35
2021-02-20-7,14
2021-02-20-8,18
2021-02-20-9,16
2021-02-20-10,14
2021-02-20-11,13
2021-02-20-12,13
2021-02-20-13,18
2021-02-20-14,13
2021-02-20-15,11
2021-02-20-16,14
2021-02-20-17,13
2021-02-20-18,12
2021-02-20-19,13
2021-02-20-20,12
2021-02-20-21,12
2021-02-20-22,13
2021-02-20-23,14
2021-02-21-0,11
2021-02-21-1,10
